MATCHUP_ID;site;PI;lat_IS;lon_IS;TIME_IS;PQC;MQC;land_dist_IS;thetas_IS;thetav_IS;dphi_IS;rho_wn_IS_412;rho_wn_IS_443;rho_wn_IS_490;rho_wn_IS_510;rho_wn_IS_560;rho_wn_IS_620;rho_wn_IS_665;rho_wn_IS_681;rho_wn_IS_708;rho_wn_IS_753;rho_wn_IS_778;rho_wn_IS_865;rho_wn_IS_885;Lu_IS_412;Lu_IS_443;Lu_IS_490;Lu_IS_510;Lu_IS_560;Lu_IS_620;Lu_IS_665;Lu_IS_681;Lu_IS_708;Lu_IS_753;Lu_IS_778;Lu_IS_865;Lu_IS_885;Ld_IS_412;Ld_IS_443;Ld_IS_490;Ld_IS_510;Ld_IS_560;Ld_IS_620;Ld_IS_665;Ld_IS_681;Ld_IS_708;Ld_IS_753;Ld_IS_778;Ld_IS_865;Ld_IS_885;Ed_IS_412;Ed_IS_443;Ed_IS_490;Ed_IS_510;Ed_IS_560;Ed_IS_620;Ed_IS_665;Ed_IS_681;Ed_IS_708;Ed_IS_753;Ed_IS_778;Ed_IS_865;Ed_IS_885
FBOX_0_b_oc;FerryBox;KaiSoerensen;    54.578;    10.546;20090914T132815Z;P10100100;M110100001110030101;    17.000;    57.635;    40.000;   220.725;  7.9794804e-03;  8.3927509e-03;  9.0053111e-03;  9.2115938e-03;  9.8066492e-03;  7.1286713e-03;  7.0714894e-03;  7.6287958e-03;  6.7472270e-03;  6.0860092e-03;  6.2550123e-03;  6.2355340e-03;  6.1935348e-03;  2.6767299e+00;  2.9299099e+00;  3.1600201e+00;  3.1115000e+00;  3.0560000e+00;  1.9025500e+00;  1.6923701e+00;  1.6778700e+00;  1.3275800e+00;  1.0620400e+00;  1.0654000e+00;  8.2525003e-01;  7.7310002e-01;  4.8336128e+01;  4.5658691e+01;  3.8514809e+01;  3.4364899e+01;  2.7095240e+01;  2.0002609e+01;  1.6740179e+01;  1.5320910e+01;  1.3022710e+01;  1.0336360e+01;  9.7710505e+00;  6.6948800e+00;  6.1476498e+00;  4.6069739e+02;  5.1067117e+02;  5.3520648e+02;  5.2329584e+02;  4.9424011e+02;  4.4192154e+02;  4.1756659e+02;  3.9939252e+02;  3.5886353e+02;  3.1913501e+02;  3.1763092e+02;  2.5579581e+02;  2.4254294e+02
FBOX_1_b_oc;FerryBox;KaiSoerensen;    54.579;    10.548;20090914T132835Z;P10100100;M110100001110030101;    17.000;    57.636;    40.000;   220.817;  7.3074657e-03;  7.6165491e-03;  8.1330794e-03;  8.2849253e-03;  8.7813460e-03;  6.1976296e-03;  6.1106042e-03;  6.6449116e-03;  5.7182080e-03;  5.1014745e-03;  5.2537322e-03;  5.2607352e-03;  5.2066338e-03;  2.5339601e+00;  2.7390499e+00;  2.9121799e+00;  2.8484499e+00;  2.7677200e+00;  1.6980300e+00;  1.4984500e+00;  1.4871700e+00;  1.1568600e+00;  9.1902000e-01;  9.1966999e-01;  7.0823002e-01;  6.6166002e-01;  4.8414478e+01;  4.5746052e+01;  3.8597450e+01;  3.4446861e+01;  2.7203520e+01;  2.0107750e+01;  1.6864491e+01;  1.5440930e+01;  1.3147220e+01;  1.0462960e+01;  9.8942099e+00;  6.8346500e+00;  6.3099098e+00;  4.5147467e+02;  5.0008380e+02;  5.2377032e+02;  5.1208246e+02;  4.8348557e+02;  4.3191843e+02;  4.0727054e+02;  3.8892651e+02;  3.4879175e+02;  3.1034564e+02;  3.0860318e+02;  2.4691095e+02;  2.3400063e+02
FBOX_2_b_oc;FerryBox;KaiSoerensen;    54.580;    10.550;20090914T132855Z;P10100100;M110100001110030101;    16.000;    57.638;    40.000;   220.910;  3.7653982e-03;  3.7957495e-03;  4.1746845e-03;  4.3021616e-03;  4.6880376e-03;  1.1563580e-03;  6.3983542e-04;  1.0320690e-03;            NaN;            NaN;            NaN;            NaN;            NaN;  2.3933899e+00;  2.5777700e+00;  2.7595401e+00;  2.7072301e+00;  2.6630800e+00;  1.5045800e+00;  1.3004000e+00;  1.3041800e+00;  9.7693002e-01;  7.4632001e-01;  7.4163002e-01;  5.6124997e-01;  5.2271998e-01;  6.5051361e+01;  6.7122910e+01;  6.5080803e+01;  6.1502258e+01;  5.5827709e+01;  4.8296459e+01;  4.5014751e+01;  4.2706959e+01;  3.8359200e+01;  3.3522480e+01;  3.3268070e+01;  2.6321541e+01;  2.4979309e+01;  4.7812753e+02;  5.3469495e+02;  5.6693805e+02;  5.5620251e+02;  5.2971228e+02;  4.7629471e+02;  4.5180850e+02;  4.3219760e+02;  3.8812860e+02;  3.4504681e+02;  3.4342291e+02;  2.7744925e+02;  2.6339929e+02
FBOX_3_b_oc;FerryBox;KaiSoerensen;    54.581;    10.553;20090914T132915Z;P10100100;M110100001110030101;    16.000;    57.735;    40.000;   221.003;  7.6044231e-03;  7.8122069e-03;  8.2083981e-03;  8.3183658e-03;  8.7672330e-03;  5.7994933e-03;  5.5404444e-03;  6.0101385e-03;  5.0023761e-03;  4.2709561e-03;  4.3676052e-03;  4.2436848e-03;  4.1695174e-03;  2.8275299e+00;  3.1033299e+00;  3.3698201e+00;  3.3201900e+00;  3.2867301e+00;  1.9724600e+00;  1.7311600e+00;  1.7204000e+00;  1.3263700e+00;  1.0395300e+00;  1.0397800e+00;  7.9918998e-01;  7.4575001e-01;  5.1440639e+01;  4.9394451e+01;  4.2841629e+01;  3.8712910e+01;  3.1594179e+01;  2.4396179e+01;  2.1163410e+01;  1.9613720e+01;  1.7037359e+01;  1.4073700e+01;  1.3574370e+01;  9.9884195e+00;  9.3283100e+00;  5.0702216e+02;  5.7225879e+02;  6.1313892e+02;  6.0395679e+02;  5.7903699e+02;  5.2509344e+02;  4.9992334e+02;  4.7889664e+02;  4.3161871e+02;  3.8538406e+02;  3.8432874e+02;  3.1075262e+02;  2.9501151e+02
FBOX_4_b_oc;FerryBox;KaiSoerensen;    54.582;    10.555;20090914T132935Z;P10100100;M110100001110030101;    16.000;    57.736;    40.000;   221.095;  6.9062478e-03;  7.1554510e-03;  7.5560273e-03;  7.6674190e-03;  8.0580128e-03;  5.4824265e-03;  5.3196862e-03;  5.7274896e-03;  4.9342008e-03;  4.3581154e-03;  4.4693143e-03;  4.4190878e-03;  4.3477130e-03;  2.6434600e+00;  2.8864000e+00;  3.1089599e+00;  3.0532100e+00;  2.9942999e+00;  1.7820500e+00;  1.5611000e+00;  1.5448600e+00;  1.1968100e+00;  9.3948001e-01;  9.3961000e-01;  7.2232002e-01;  6.7186999e-01;  4.8772011e+01;  4.5801472e+01;  3.8143150e+01;  3.3808498e+01;  2.6194370e+01;  1.8847050e+01;  1.5442780e+01;  1.4009580e+01;  1.1741350e+01;  9.0887499e+00;  8.4666100e+00;  5.5195799e+00;  5.0335398e+00;  5.1522870e+02;  5.8236975e+02;  6.2521588e+02;  6.1584491e+02;  5.9128259e+02;  5.3661945e+02;  5.1163956e+02;  4.9047989e+02;  4.4204095e+02;  3.9474911e+02;  3.9392661e+02;  3.2062549e+02;  3.0461047e+02
FBOX_5_b_oc;FerryBox;KaiSoerensen;    54.583;    10.557;20090914T132955Z;P10100100;M110100001110030101;    16.000;    57.738;    40.000;   221.188;  8.3115639e-03;  8.7153814e-03;  9.2592271e-03;  9.4038163e-03;  9.9562691e-03;  7.2962001e-03;  7.2326360e-03;  7.7723163e-03;  6.8336295e-03;  6.1984326e-03;  6.3873174e-03;  6.4016850e-03;  6.3441235e-03;  2.8798499e+00;  3.1672001e+00;  3.4168899e+00;  3.3530900e+00;  3.2899001e+00;  2.0922101e+00;  1.8677599e+00;  1.8437200e+00;  1.4605900e+00;  1.1804800e+00;  1.1865000e+00;  9.2646998e-01;  8.6872000e-01;  5.3354721e+01;  5.1198479e+01;  4.4250340e+01;  3.9879730e+01;  3.2216549e+01;  2.4437229e+01;  2.0840481e+01;  1.9189400e+01;  1.6477579e+01;  1.3285110e+01;  1.2678270e+01;  8.9338503e+00;  8.3054104e+00;  4.6458249e+02;  5.1767047e+02;  5.4601263e+02;  5.3478302e+02;  5.0715591e+02;  4.5449194e+02;  4.3012143e+02;  4.1153992e+02;  3.6935361e+02;  3.2944632e+02;  3.2810779e+02;  2.6530219e+02;  2.5174554e+02
FBOX_6_b_oc;FerryBox;KaiSoerensen;    54.584;    10.560;20090914T133015Z;P10100100;M110100001110030101;    15.000;    57.835;    40.000;   221.280;  4.6577355e-03;  4.7664665e-03;  5.0397141e-03;  5.1135405e-03;  5.3700556e-03;  2.0245313e-03;  1.5417550e-03;  1.8905726e-03;  7.0251490e-04;            NaN;  6.6515889e-05;            NaN;            NaN;  3.2051599e+00;  3.5815001e+00;  3.9210401e+00;  3.8676400e+00;  3.8202100e+00;  2.5597200e+00;  2.3221200e+00;  2.2834101e+00;  1.8629500e+00;  1.5289800e+00;  1.5417100e+00;  1.2175200e+00;  1.1426400e+00;  8.8110046e+01;  9.5087067e+01;  9.7761703e+01;  9.4378868e+01;  8.9343086e+01;  8.0361740e+01;  7.6468880e+01;  7.3028793e+01;  6.6571091e+01;  5.8599861e+01;  5.8541531e+01;  4.7225658e+01;  4.4970181e+01;  5.0265439e+02;  5.6626025e+02;  6.0508936e+02;  5.9514362e+02;  5.6942529e+02;  5.1534601e+02;  4.9045374e+02;  4.6996625e+02;  4.2353265e+02;  3.7885431e+02;  3.7802191e+02;  3.0703928e+02;  2.9209033e+02
FBOX_7_b_oc;FerryBox;KaiSoerensen;    54.585;    10.562;20090914T133035Z;P10100100;M110100001110030101;    15.000;    57.837;    40.000;   221.373;  2.6926893e-03;  2.7087603e-03;  2.9744655e-03;  3.0465249e-03;  3.2495199e-03;            NaN;            NaN;            NaN;            NaN;            NaN;            NaN;            NaN;            NaN;  3.5892200e+00;  4.1025000e+00;  4.6344299e+00;  4.6136799e+00;  4.6252699e+00;  3.0600500e+00;  2.7800400e+00;  2.7445500e+00;  2.2306199e+00;  1.8243200e+00;  1.8429101e+00;  1.4584600e+00;  1.3704900e+00;  1.1405019e+02;  1.2853558e+02;  1.3955682e+02;  1.3707321e+02;  1.3376231e+02;  1.2330178e+02;  1.1846934e+02;  1.1337170e+02;  1.0362312e+02;  9.1036797e+01;  9.0997620e+01;  7.2665916e+01;  6.8953110e+01;  5.8499121e+02;  6.7398346e+02;  7.3953021e+02;  7.3407507e+02;  7.1451013e+02;  6.5306873e+02;  6.2528339e+02;  6.0055365e+02;  5.4290631e+02;  4.8574393e+02;  4.8476086e+02;  3.9437933e+02;  3.7548480e+02
FBOX_8_b_oc;FerryBox;KaiSoerensen;    54.586;    10.565;20090914T133055Z;P10100100;M110100001110030101;    15.000;    57.838;    40.000;   221.465;  3.5015787e-03;  3.2952899e-03;  3.3570848e-03;  3.3734891e-03;  3.4810781e-03;            NaN;            NaN;            NaN;            NaN;            NaN;            NaN;            NaN;            NaN;  3.6884301e+00;  4.2414699e+00;  4.8153200e+00;  4.7983499e+00;  4.8177099e+00;  3.2289500e+00;  2.9396501e+00;  2.8910100e+00;  2.3708701e+00;  1.9439000e+00;  1.9659500e+00;  1.5592200e+00;  1.4665200e+00;  1.1053164e+02;  1.2723971e+02;  1.4096565e+02;  1.3920233e+02;  1.3727313e+02;  1.2690826e+02;  1.2211984e+02;  1.1680604e+02;  1.0612446e+02;  9.3816277e+01;  9.3743439e+01;  7.4850922e+01;  7.0983757e+01;  5.9190344e+02;  6.8343756e+02;  7.5118469e+02;  7.4610223e+02;  7.2655847e+02;  6.6376874e+02;  6.3517285e+02;  6.0992896e+02;  5.5151379e+02;  4.9380576e+02;  4.9301385e+02;  4.0069196e+02;  3.8114447e+02
FBOX_9_b_oc;FerryBox;KaiSoerensen;    54.587;    10.567;20090914T133115Z;P10100100;M110100001110030101;    15.000;    57.936;    40.000;   221.557;  6.9785922e-03;  6.8203775e-03;  6.7739677e-03;  6.7267543e-03;  6.7131789e-03;  3.2495367e-03;  2.7527844e-03;  3.0860589e-03;  2.0891848e-03;  1.3643317e-03;  1.5390876e-03;  1.5431199e-03;  1.4922023e-03;  3.6860900e+00;  4.2300701e+00;  4.7517900e+00;  4.7085700e+00;  4.6542101e+00;  3.2341800e+00;  2.9555600e+00;  2.8831100e+00;  2.3997400e+00;  2.0026901e+00;  2.0244701e+00;  1.6085000e+00;  1.5120500e+00;  8.7930870e+01;  9.9738899e+01;  1.0862801e+02;  1.0661704e+02;  1.0392971e+02;  9.4391563e+01;  9.0128906e+01;  8.5981453e+01;  7.7374229e+01;  6.8183952e+01;  6.7978172e+01;  5.3854691e+01;  5.0792130e+01;  5.1819305e+02;  5.8838702e+02;  6.3300934e+02;  6.2348346e+02;  5.9738348e+02;  5.3954395e+02;  5.1257794e+02;  4.9095773e+02;  4.4170016e+02;  3.9433365e+02;  3.9291632e+02;  3.1786163e+02;  3.0181781e+02
