MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_413;Rho_wn_IS_442;Rho_wn_IS_491;Rho_wn_IS_551;Rho_wn_IS_668;Rho_wn_IS_870;LwN_IS_413;LwN_IS_442;LwN_IS_491;LwN_IS_530;LwN_IS_551;LwN_IS_668;LwN_IS_870;ExactWavelength_IS_413;ExactWavelength_IS_442;ExactWavelength_IS_491;ExactWavelength_IS_530;ExactWavelength_IS_551;ExactWavelength_IS_668;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
LISCO_0_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000506T200114Z;P10000100;M110100001110030101;     2.000;    47.563;       0.003034;       0.003372;       0.006310;       0.011060;       0.003772;       0.000537;       0.165860;       0.200105;       0.396403;    -999.000000;       0.658392;       0.182462;       0.016294;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       8.378231;    1014.912964;       2.729325;     357.877228
LISCO_1_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000506T202231Z;P10000100;M110100001110030101;     2.000;    51.407;       0.002386;       0.003192;       0.006122;       0.011204;       0.003883;       0.000431;       0.130436;       0.189412;       0.384608;    -999.000000;       0.666936;       0.187868;       0.013081;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       9.470426;    1014.816345;       2.933686;     357.871979
LISCO_2_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000506T205041Z;P10000100;M110100001110030101;     2.000;    56.621;       0.002214;       0.002865;       0.005612;       0.010464;       0.003901;       0.000401;       0.121048;       0.169986;       0.352533;    -999.000000;       0.622933;       0.188704;       0.012153;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      10.000144;    1014.688477;       3.204141;     357.865021
LISCO_3_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000506T212038Z;P10000100;M110100001110030101;     2.000;    62.266;       0.001433;       0.002110;       0.004686;       0.009966;       0.003272;       0.000678;       0.078356;       0.125199;       0.294414;    -999.000000;       0.593259;       0.158309;       0.020569;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      14.721749;    1014.552490;       3.491720;     357.857635
LISCO_4_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T115035Z;P10000100;M110100001110030101;     2.000;    67.794;       0.000525;       0.001712;       0.004189;       0.009233;       0.003199;       0.000055;       0.028677;       0.101582;       0.263155;    -999.000000;       0.549599;       0.154748;       0.001655;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      16.436266;    1013.278687;       3.870143;     357.643188
LISCO_5_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T122035Z;P10000100;M110100001110030101;     2.000;    62.129;       0.001282;       0.002321;       0.005110;       0.010028;       0.003048;       0.000131;       0.070090;       0.137699;       0.321022;    -999.000000;       0.596930;       0.147464;       0.003977;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      11.632412;    1013.154602;       4.019549;     357.635773
LISCO_6_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T125036Z;P10000100;M110100001110030101;     2.000;    56.476;       0.002132;       0.003100;       0.005869;       0.010304;       0.003340;       0.000094;       0.116584;       0.183969;       0.368691;    -999.000000;       0.613367;       0.161598;       0.002865;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       8.420931;    1012.971008;       4.246479;     357.628387
LISCO_7_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T132227Z;P10000100;M110100001110030101;     2.000;    50.514;       0.002436;       0.003253;       0.005742;       0.010229;       0.003347;       0.000219;       0.133205;       0.193016;       0.360693;    -999.000000;       0.608911;       0.161915;       0.006647;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       8.746916;    1012.776184;       4.487270;     357.620544
LISCO_8_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T140105Z;P10000100;M110100001110030101;     2.000;    43.455;       0.002955;       0.003565;       0.006545;       0.011190;       0.003514;       0.000316;       0.161527;       0.211542;       0.411199;    -999.000000;       0.666114;       0.170020;       0.009583;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       7.807386;    1012.539917;       4.779344;     357.610992
LISCO_9_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T182229Z;P10000100;M110100001110030101;     2.000;    31.112;       0.003356;       0.004027;       0.007148;       0.012818;       0.004730;       0.000391;       0.183475;       0.238928;       0.449023;    -999.000000;       0.763042;       0.228825;       0.011856;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       8.913154;    1010.943420;       6.811324;     357.546570
LISCO_10_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T185508Z;P10000100;M110100001110030101;     2.000;    36.023;       0.003925;       0.004864;       0.008261;       0.013383;       0.005149;       0.000292;       0.214598;       0.288605;       0.518947;    -999.000000;       0.796662;       0.249075;       0.008850;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       6.707127;    1010.747131;       7.139130;     357.538513
LISCO_11_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T192228Z;P10000100;M110100001110030101;     2.000;    40.496;       0.003398;       0.004653;       0.008169;       0.013677;       0.004941;       0.000480;       0.185752;       0.276095;       0.513184;    -999.000000;       0.814159;       0.239051;       0.014555;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       7.353747;    1010.582764;       7.413558;     357.531769
LISCO_12_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T200102Z;P10000100;M110100001110030101;     2.000;    47.395;       0.003359;       0.004831;       0.008105;       0.013848;       0.005073;       0.000535;       0.183634;       0.286639;       0.509161;    -999.000000;       0.824346;       0.245407;       0.016217;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       7.762980;    1010.350830;       7.800768;     357.522278
LISCO_13_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000507T202226Z;P10000100;M110100001110030101;     2.000;    51.245;       0.002660;       0.004199;       0.007697;       0.013700;       0.004831;       0.000485;       0.145428;       0.249136;       0.483535;    -999.000000;       0.815567;       0.233726;       0.014713;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       8.740223;    1010.222168;       8.015625;     357.516998
LISCO_14_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000508T172224Z;P10000100;M110100001110030101;     2.000;    24.706;       0.001985;       0.002897;       0.005406;       0.010833;       0.003836;       0.000179;       0.108524;       0.171915;       0.339637;    -999.000000;       0.644895;       0.185565;       0.005427;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      12.275181;    1008.840881;       5.803753;     357.206360
LISCO_15_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20000513T185451Z;P10000100;M110100001110030101;     2.000;    34.750;       0.004726;       0.005682;       0.008856;       0.013029;       0.004088;       0.000202;       0.258367;       0.337185;       0.556372;    -999.000000;       0.775593;       0.197793;       0.006134;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       5.147336;    1005.378113;       2.762759;     355.408539
