MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_443;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681;Rho_wn_IS_708;Rho_wn_IS_753;Lw_IS_412;Lw_IS_443;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681;Lw_IS_708;Lw_IS_753;Es_IS_412;Es_IS_443;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681;Es_IS_708;Es_IS_753
MOBY_0_b_oc;MOBY;KennethVoss;    20.821;  -157.184;20020527T203606Z;P10100100;M111110111101110100;    13.000;    25.609;       0.039979;       0.030821;       0.019912;       0.010599;       0.004051;       0.000427;       0.000128;       0.000114;       0.000022;            NaN;       1.634600;       1.389700;       0.957200;       0.510600;       0.186200;       0.017900;       0.005200;       0.004500;       0.000800;            NaN;     129.199997;     142.699997;     152.199997;     153.000000;     145.899994;     133.100006;     128.500000;     125.199997;     114.300003;     107.800003
MOBY_1_b_oc;MOBY;KennethVoss;    20.819;  -157.192;20020528T203606Z;P10100100;M111110111101110100;    14.000;    25.636;       0.035935;       0.027408;       0.018047;       0.009864;       0.004006;       0.000501;       0.000181;       0.000163;       0.000035;       0.000003;       1.515400;       1.276400;       0.898300;       0.492100;       0.191000;       0.021800;       0.007600;       0.006700;       0.001300;       0.000100;     133.199997;     147.300003;     157.500000;     158.300003;     151.199997;     138.000000;     133.500000;     130.100006;     118.900002;     112.000000
MOBY_2_b_oc;MOBY;KennethVoss;    20.815;  -157.185;20020529T203607Z;P10100100;M111110111101110100;    14.000;    25.652;       0.039921;       0.030046;       0.019387;       0.010265;       0.003940;       0.000419;       0.000136;       0.000124;       0.000022;            NaN;       1.633500;       1.353800;       0.930700;       0.493500;       0.180700;       0.017500;       0.005500;       0.004900;       0.000800;            NaN;     129.300003;     142.600006;     152.000000;     152.699997;     145.600006;     132.699997;     128.199997;     125.000000;     113.900002;     107.500000
MOBY_3_b_oc;MOBY;KennethVoss;    20.818;  -157.184;20020530T203734Z;P10100100;M111110111101110100;    13.000;    25.444;       0.040962;       0.030584;       0.019494;       0.010020;       0.003749;       0.000357;       0.000140;       0.000131;       0.000024;       0.000006;       1.709500;       1.407700;       0.958400;       0.493900;       0.176300;       0.015300;       0.005800;       0.005300;       0.000900;       0.000200;     131.899994;     145.699997;     155.699997;     156.600006;     149.300003;     136.199997;     131.600006;     128.199997;     117.699997;     110.300003
MOBY_4_b_oc;MOBY;KennethVoss;    20.818;  -157.193;20020531T203609Z;P10100100;M111110111101110100;    14.000;    25.711;       0.041927;       0.031542;       0.019655;       0.010162;       0.003795;       0.000383;       0.000128;       0.000111;       0.000022;            NaN;       1.755000;       1.454600;       0.966200;       0.500500;       0.178400;       0.016400;       0.005300;       0.004500;       0.000800;            NaN;     132.300003;     146.000000;     155.699997;     156.500000;     149.300003;     136.100006;     131.399994;     128.000000;     117.000000;     110.099998
MOBY_5_b_oc;MOBY;KennethVoss;    20.812;  -157.199;20020601T203608Z;P10100100;M111110111101110100;    14.000;    25.729;       0.030980;       0.024752;       0.016992;       0.009321;       0.003637;       0.000387;       0.000135;       0.000116;       0.000021;            NaN;       1.292700;       1.140200;       0.835600;       0.459700;       0.171200;       0.016600;       0.005600;       0.004700;       0.000800;            NaN;     131.800003;     145.699997;     155.600006;     156.500000;     149.300003;     136.199997;     131.899994;     128.500000;     118.199997;     110.500000
MOBY_6_b_oc;MOBY;KennethVoss;    20.812;  -157.190;20020602T203607Z;P10100100;M111110111101110100;    14.000;    25.752;       0.033486;       0.026539;       0.018478;       0.010229;       0.004088;       0.000426;       0.000147;       0.000131;       0.000025;            NaN;       1.356200;       1.184300;       0.878600;       0.487000;       0.185700;       0.017600;       0.005900;       0.005100;       0.000900;            NaN;     127.900002;     141.100006;     150.399994;     151.000000;     144.000000;     131.199997;     126.900002;     123.699997;     112.800003;     106.300003
MOBY_7_b_oc;MOBY;KennethVoss;    20.813;  -157.187;20020603T203609Z;P10100100;M111110111101110100;    14.000;    25.782;       0.032604;       0.026261;       0.018684;       0.010471;       0.004214;       0.000455;       0.000161;       0.000140;       0.000025;            NaN;       1.329000;       1.179700;       0.895200;       0.502700;       0.193100;       0.019000;       0.006500;       0.005500;       0.000900;            NaN;     128.699997;     142.000000;     151.500000;     152.199997;     145.199997;     132.399994;     127.900002;     124.599998;     113.599998;     107.199997
MOBY_8_b_oc;MOBY;KennethVoss;    20.808;  -157.201;20020604T203609Z;P10100100;M111110111101110100;    15.000;    25.830;       0.033260;       0.026763;       0.018999;       0.010694;       0.004254;       0.000452;       0.000156;       0.000139;       0.000025;            NaN;       1.357800;       1.204700;       0.912600;       0.514700;       0.195300;       0.018900;       0.006300;       0.005500;       0.000900;            NaN;     128.899994;     142.300003;     151.899994;     152.600006;     145.500000;     132.600006;     128.100006;     124.800003;     113.900002;     107.300003
MOBY_9_b_oc;MOBY;KennethVoss;    20.811;  -157.187;20020605T203609Z;P10100100;M111110111101110100;    14.000;    25.854;       0.036881;       0.029337;       0.019906;       0.010745;       0.004179;       0.000471;       0.000156;       0.000133;       0.000026;            NaN;       1.438300;       1.259300;       0.910700;       0.492200;       0.182300;       0.018700;       0.006000;       0.005000;       0.000900;            NaN;     123.199997;     135.800003;     144.800003;     145.399994;     138.399994;     126.099998;     121.900002;     118.800003;     108.800003;     102.199997
MOBY_10_b_oc;MOBY;KennethVoss;    20.810;  -157.193;20020606T203610Z;P10100100;M111110111101110100;    14.000;    25.899;       0.029528;       0.024670;       0.018359;       0.010853;       0.004891;       0.000558;       0.000190;       0.000160;       0.000027;            NaN;       1.223900;       1.127600;       0.895000;       0.530600;       0.227700;       0.023700;       0.007800;       0.006400;       0.001000;            NaN;     130.699997;     144.199997;     153.800003;     154.500000;     147.100006;     134.100006;     129.399994;     126.099998;     115.199997;     108.400002
MOBY_11_b_oc;MOBY;KennethVoss;    20.809;  -157.202;20020607T203709Z;P10100100;M111110111101110100;    15.000;    25.718;       0.030650;       0.024793;       0.017668;       0.009972;       0.004065;       0.000440;       0.000137;       0.000128;       0.000025;       0.000003;       1.263100;       1.127300;       0.857300;       0.485200;       0.188600;       0.018600;       0.005600;       0.005100;       0.000900;       0.000100;     130.100006;     143.699997;     153.399994;     154.199997;     147.000000;     134.000000;     129.399994;     126.099998;     115.000000;     108.500000
MOBY_12_b_oc;MOBY;KennethVoss;    20.812;  -157.208;20020608T203620Z;P10100100;M111110111101110100;    15.000;    25.995;       0.031137;       0.024657;       0.016838;       0.009200;       0.003586;       0.000354;       0.000118;       0.000109;       0.000021;            NaN;       1.302100;       1.138000;       0.830000;       0.455100;       0.169100;       0.015200;       0.004900;       0.004400;       0.000800;            NaN;     132.100006;     146.000000;     156.000000;     157.000000;     149.600006;     136.399994;     131.800003;     128.399994;     117.900002;     110.400002
MOBY_13_b_oc;MOBY;KennethVoss;    20.810;  -157.200;20020609T203610Z;P10100100;M111110111101110100;    14.000;    26.032;       0.032929;       0.025964;       0.017698;       0.009593;       0.003794;       0.000439;       0.000135;       0.000121;       0.000024;       0.000003;       1.372900;       1.194200;       0.869600;       0.472700;       0.178200;       0.018800;       0.005600;       0.004900;       0.000900;       0.000100;     131.699997;     145.500000;     155.500000;     156.399994;     149.000000;     135.899994;     131.300003;     127.900002;     117.500000;     110.099998
MOBY_14_b_oc;MOBY;KennethVoss;    20.808;  -157.196;20020610T203611Z;P10100100;M111110111101110100;    15.000;    26.073;       0.031526;       0.025690;       0.018081;       0.010109;       0.004138;       0.000476;       0.000161;       0.000142;       0.000025;            NaN;       1.298000;       1.168600;       0.878800;       0.492600;       0.192600;       0.020200;       0.006600;       0.005700;       0.000900;            NaN;     130.000000;     143.800003;     153.699997;     154.500000;     147.500000;     134.600006;     130.100006;     126.800003;     115.500000;     109.000000
MOBY_15_b_oc;MOBY;KennethVoss;    20.809;  -157.201;20020612T203610Z;P10100100;M111110111101110100;    15.000;    26.170;       0.030100;       0.024637;       0.017373;       0.009591;       0.003801;       0.000366;       0.000144;       0.000132;       0.000025;            NaN;       1.204700;       1.087600;       0.817700;       0.452600;       0.170800;       0.015000;       0.005700;       0.005100;       0.000900;            NaN;     126.400002;     139.600006;     148.899994;     149.699997;     142.500000;     129.899994;     125.599998;     122.400002;     112.400002;     105.199997
MOBY_16_b_oc;MOBY;KennethVoss;    20.812;  -157.209;20020613T203611Z;P10100100;M111110111101110100;    16.000;    26.224;       0.026099;       0.021437;       0.015445;       0.008805;       0.003522;       0.000376;       0.000132;       0.000123;       0.000021;            NaN;       1.092000;       0.991500;       0.763500;       0.436900;       0.166500;       0.016200;       0.005500;       0.005000;       0.000800;            NaN;     132.100006;     146.199997;     156.300003;     157.300003;     149.800003;     136.600006;     132.199997;     128.800003;     118.699997;     110.800003
MOBY_17_b_oc;MOBY;KennethVoss;    20.821;  -157.202;20020615T203611Z;P10100100;M111110111101110100;    15.000;    26.313;       0.023434;       0.019456;       0.013656;       0.007704;       0.003066;       0.000303;       0.000106;       0.000099;       0.000019;            NaN;       0.989200;       0.908200;       0.681700;       0.385700;       0.146500;       0.013200;       0.004500;       0.004100;       0.000700;            NaN;     133.300003;     147.600006;     157.899994;     158.800003;     151.500000;     138.199997;     134.100006;     130.699997;     119.500000;     112.400002
MOBY_18_b_oc;MOBY;KennethVoss;    20.824;  -157.210;20020616T203611Z;P10100100;M111110111101110100;    15.000;    26.368;       0.028515;       0.023890;       0.016808;       0.009192;       0.003537;       0.000348;       0.000117;       0.000105;       0.000022;            NaN;       1.174400;       1.086700;       0.816800;       0.447700;       0.164100;       0.014700;       0.004800;       0.004200;       0.000800;            NaN;     130.100006;     143.899994;     153.800003;     154.600006;     147.199997;     134.199997;     130.500000;     127.199997;     116.900002;     109.500000
