MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_440;Rho_wn_IS_490;Rho_wn_IS_555;Rho_wn_IS_668;Rho_wn_IS_868;LwN_IS_412;LwN_IS_440;LwN_IS_490;LwN_IS_530;LwN_IS_555;LwN_IS_668;LwN_IS_868;ExactWavelength_IS_412;ExactWavelength_IS_440;ExactWavelength_IS_490;ExactWavelength_IS_530;ExactWavelength_IS_555;ExactWavelength_IS_668;ExactWavelength_IS_868;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
PAL_0_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080704T140654Z;P10000000;M110100001110030101;     5.000;    47.279;       0.000349;       0.001445;       0.004459;       0.007877;       0.003214;            NaN;       0.018989;       0.085472;       0.275485;    -999.000000;       0.461521;       0.155506;      -0.003841;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       8.350038;    1008.911926;       5.983452;     341.206573
PAL_1_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080704T143335Z;P10000000;M110100001110030101;     5.000;    50.409;       0.000479;       0.001717;       0.004043;       0.007605;       0.003440;            NaN;       0.026084;       0.101613;       0.249791;    -999.000000;       0.445560;       0.166415;      -0.004258;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       9.940693;    1008.815308;       6.046008;     341.195160
PAL_2_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080704T150132Z;P10000000;M110100001110030101;     5.000;    53.829;       0.000353;       0.000361;       0.004043;       0.007735;       0.003438;            NaN;       0.019232;       0.021350;       0.249768;    -999.000000;       0.453191;       0.166335;      -0.006736;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;      10.535394;    1008.714050;       6.111534;     341.183197
PAL_3_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080705T083341Z;P10000000;M110100001110030101;     5.000;    45.673;       0.000440;       0.002278;       0.004588;       0.008036;       0.003614;            NaN;       0.023973;       0.134756;       0.283466;    -999.000000;       0.470845;       0.174857;      -0.006573;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       8.114600;    1006.897095;       2.651206;     340.732758
PAL_4_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080705T091320Z;P10000000;M110100001110030101;     5.000;    41.736;       0.001832;       0.002339;       0.004651;       0.008225;       0.003718;       0.000207;       0.099723;       0.138418;       0.287329;    -999.000000;       0.481901;       0.179887;       0.006192;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       8.335586;    1006.731628;       2.342339;     340.715790
PAL_5_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080709T091437Z;P10000000;M110100001110030101;     5.000;    42.102;       0.001533;       0.002553;       0.005347;       0.009173;       0.004214;       0.000005;       0.083455;       0.151055;       0.330370;    -999.000000;       0.537446;       0.203877;       0.000153;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       7.661494;     999.145569;       3.156560;     338.249451
PAL_6_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080709T131324Z;P10000000;M110100001110030101;     5.000;    42.279;       0.000811;       0.002358;       0.005104;       0.009306;       0.004107;            NaN;       0.044171;       0.139490;       0.315348;    -999.000000;       0.545254;       0.198711;      -0.002172;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       9.091181;     999.197083;       5.275410;     338.147217
PAL_7_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080709T140739Z;P10000000;M110100001110030101;     5.000;    47.763;       0.001117;       0.002337;       0.004622;       0.008890;       0.004019;       0.000172;       0.060797;       0.138254;       0.285542;    -999.000000;       0.520878;       0.194439;       0.005156;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;      10.574854;     999.246216;       5.514614;     338.123993
PAL_8_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080709T143419Z;P10000000;M110100001110030101;     5.000;    50.885;            NaN;       0.001478;       0.004396;       0.008189;       0.003888;            NaN;      -0.005556;       0.087478;       0.271572;    -999.000000;       0.479795;       0.188079;      -0.004145;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       9.697169;     999.270386;       5.632195;     338.112579
PAL_9_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080710T103428Z;P10000000;M110100001110030101;     5.000;    37.197;       0.000799;       0.002526;       0.004972;       0.008676;       0.003668;       0.000074;       0.043505;       0.149483;       0.307204;    -999.000000;       0.508330;       0.177447;       0.002230;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       8.026071;    1000.712646;       3.765295;     337.598816
