MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_410;Rho_wn_IS_443;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_670;Rho_wn_IS_750;Rho_wn_IS_870;Es_IS_410;Es_IS_443;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_670;Es_IS_750;Es_IS_870;AOT_IS_870
SCDC20_0_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.020;     1.622;20010214T121127Z;P10100100;M110100101100020000;    10.000;    64.673;       0.021058;       0.033412;       0.051983;       0.048503;       0.044818;       0.014192;       0.010811;       0.000195;       0.003229;     576.219971;     670.809998;     734.690002;     721.830017;     674.909973;     649.440002;     628.900024;     546.869995;     427.850006;       0.001900
SCDC20_1_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.065;     1.527;20010214T122609Z;P10100100;M110100101100020000;    12.000;    64.828;       0.025115;       0.038203;       0.055971;       0.051590;       0.046331;       0.015000;       0.011430;       0.000488;       0.003094;     573.130005;     666.880005;     730.000000;     717.049988;     670.039978;     644.729980;     624.530029;     543.190002;     425.029999;       0.004300
SCDC20_2_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.066;     1.523;20010214T122649Z;P10100100;M110100101100020000;    11.000;    64.829;       0.023839;       0.038187;       0.056839;       0.053611;       0.050520;       0.016442;       0.012335;       0.001250;       0.002625;     572.900024;     666.619995;     729.700012;     716.750000;     669.739990;     644.450012;     624.270020;     542.969971;     424.859985;       0.004300
SCDC20_3_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.078;     1.495;20010214T123101Z;P10100100;M110100101100020000;     9.000;    64.912;       0.025428;       0.039426;       0.058361;       0.057325;       0.061371;       0.027333;       0.020931;       0.002967;       0.002767;     570.780029;     664.109985;     726.900024;     713.950012;     667.000000;     641.840027;     621.849976;     540.950012;     423.320007;       0.006900
SCDC20_4_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.036;     1.504;20010214T141546Z;P10100100;M110100101100020000;    13.000;    70.312;       0.019431;       0.033584;       0.058467;       0.051145;       0.043954;       0.015025;       0.013185;       0.004226;       0.001755;     425.799988;     500.750000;     553.369995;     543.020020;     502.260010;     487.940002;     481.420013;     424.200012;     333.920013;       0.021500
SCDC20_5_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.027;     1.528;20010214T141919Z;P10100100;M110100101100020000;    14.000;    70.657;       0.020925;       0.034524;       0.060733;       0.052974;       0.045740;       0.016527;       0.015002;       0.005874;       0.001144;     417.709991;     491.329987;     542.979980;     532.700012;     492.200012;     478.429993;     472.640015;     416.869995;     328.320007;       0.025500
SCDC20_6_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.018;     1.554;20010214T142306Z;P10100100;M110100101100020000;    13.000;    71.013;       0.020705;       0.034680;       0.059462;       0.052258;       0.044612;       0.015123;       0.013813;       0.005148;       0.001307;     385.600006;     458.989990;     514.799988;     507.040009;     471.989990;     461.910004;     458.519989;     406.140015;     320.850006;       0.035400
SCDC20_7_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.009;     1.577;20010214T142631Z;P10100100;M110100101100020000;    11.000;    71.285;       0.016802;       0.030597;       0.058671;       0.050941;       0.045117;       0.015288;       0.013257;       0.004508;       0.001441;     377.429993;     449.450012;     504.230011;     496.549988;     461.779999;     452.230011;     449.570007;     398.660004;     315.149994;       0.039500
SCDC20_8_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    51.005;     1.589;20010214T142812Z;P10100100;M110100101100020000;    10.000;    71.470;       0.018250;       0.033680;       0.062778;       0.055683;       0.050134;       0.016167;       0.012814;       0.002629;       0.003088;     373.029999;     444.359985;     498.679993;     491.070007;     456.510010;     447.279999;     445.010010;     394.869995;     312.279999;       0.042200
SCDC20_9_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    50.995;     1.618;20010214T143223Z;P10100100;M110100101100020000;     8.000;    71.846;       0.021623;       0.037569;       0.067974;       0.060946;       0.056001;       0.021096;       0.017454;       0.006498;       0.001734;     361.880005;     431.519989;     484.720001;     477.299988;     443.299988;     434.890015;     433.619995;     385.420013;     305.130005;       0.047000
SCDC20_10_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    50.992;     1.627;20010214T143336Z;P10100100;M110100101100020000;     8.000;    71.942;       0.019416;       0.034025;       0.062670;       0.056189;       0.052827;       0.018584;       0.014440;       0.003866;       0.002451;     359.559998;     428.760010;     481.579987;     474.149994;     440.130005;     431.839996;     430.779999;     383.019989;     303.260010;       0.047000
SCDC20_11_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    50.979;     1.669;20010214T143925Z;P10100100;M110100101100020000;     5.000;    72.528;       0.022877;       0.039801;       0.072421;       0.067088;       0.067779;       0.028059;       0.022628;       0.007233;       0.001617;     342.950012;     409.570007;     460.630005;     453.480011;     420.329987;     413.230011;     413.600006;     368.739990;     292.459991;       0.056900
SCDC20_12_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    50.977;     1.674;20010214T144012Z;P10100100;M110100101100020000;     5.000;    72.627;       0.023191;       0.039559;       0.070743;       0.065988;       0.067400;       0.028070;       0.021996;       0.006806;       0.001202;     340.799988;     407.049988;     457.839996;     450.709991;     417.660004;     410.700012;     411.239990;     366.760010;     290.959991;       0.058600
SCDC20_13_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    50.975;     1.684;20010214T144123Z;P10100100;M110100101100020000;     3.000;    72.728;       0.025907;       0.043939;       0.077314;       0.072887;       0.075598;       0.034035;       0.027576;       0.009094;       0.001222;     337.059998;     402.679993;     453.019989;     445.950012;     413.100006;     406.390015;     407.239990;     363.420013;     288.440002;       0.062200
SCDC20_14_b_oc;SIMBADA-CDC-2001-02-14;PierreYvesDeschamps;    50.966;     1.743;20010214T144839Z;P10100100;M110100101100020000;     1.000;    73.453;       0.032665;       0.052044;       0.085184;       0.084021;       0.097099;       0.062999;       0.050599;       0.012342;       0.002300;     321.320007;     384.040009;     431.940002;     424.809998;     392.029999;     386.149994;     388.420013;     347.510010;     276.089996;       0.062600
