MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_411;Rho_wn_IS_442;Rho_wn_IS_491;Rho_wn_IS_555;Rho_wn_IS_668;Rho_wn_IS_869;LwN_IS_411;LwN_IS_442;LwN_IS_491;LwN_IS_530;LwN_IS_555;LwN_IS_668;LwN_IS_869;ExactWavelength_IS_411;ExactWavelength_IS_442;ExactWavelength_IS_491;ExactWavelength_IS_530;ExactWavelength_IS_555;ExactWavelength_IS_668;ExactWavelength_IS_869;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
WaveCIS_0_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100429T133103Z;P10000100;M110100001110030101;    18.000;    63.192;       0.000624;       0.001903;       0.003480;       0.004247;       0.001095;            NaN;       0.033811;       0.112924;       0.216125;    -999.000000;       0.252831;       0.052979;      -0.002641;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       3.219894;    1010.487854;       5.851434;     308.527740
WaveCIS_1_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100429T153309Z;P10000100;M110100001110030101;    18.000;    36.695;       0.002349;       0.002962;       0.004415;       0.005577;       0.000739;       0.000416;       0.127159;       0.175770;       0.274242;    -999.000000;       0.331999;       0.035763;       0.012476;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       3.489707;    1010.436646;       6.372869;     308.550903
WaveCIS_2_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100504T140033Z;P10000100;M110100001110030101;    18.000;    56.028;       0.001779;       0.003036;       0.005043;       0.005765;       0.001064;            NaN;       0.096308;       0.180125;       0.313232;    -999.000000;       0.343183;       0.051458;      -0.006058;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       2.722178;    1010.353149;       3.046028;     309.899414
WaveCIS_3_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100504T143238Z;P10000100;M110100001110030101;    18.000;    49.022;       0.003610;       0.004581;       0.006746;       0.007772;       0.001573;       0.000042;       0.195448;       0.271834;       0.418992;    -999.000000;       0.462642;       0.076118;       0.001267;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       2.764022;    1010.374634;       2.998421;     309.905518
WaveCIS_4_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100504T160537Z;P10000100;M110100001110030101;    18.000;    29.071;       0.004014;       0.004791;       0.005932;       0.006634;       0.001550;       0.000136;       0.217338;       0.284267;       0.368434;    -999.000000;       0.394925;       0.075011;       0.004069;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       2.549703;    1010.436951;       2.860450;     309.923157
WaveCIS_5_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100504T183235Z;P10000100;M110100001110030101;    18.000;    14.840;       0.004243;       0.004789;       0.006234;       0.008580;       0.002873;       0.000253;       0.229710;       0.284195;       0.387220;    -999.000000;       0.510748;       0.139012;       0.007587;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       4.333517;    1010.346558;       2.456240;     309.951050
WaveCIS_6_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100505T130712Z;P10000100;M110100001110030101;    18.000;    67.468;       0.000753;       0.002095;       0.003427;       0.005108;       0.001384;       0.000057;       0.040746;       0.124309;       0.212826;    -999.000000;       0.304059;       0.066975;       0.001722;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       5.402372;    1010.512512;       1.667383;     310.162506
WaveCIS_7_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100505T133214Z;P10000100;M110100001110030101;    18.000;    62.018;       0.001455;       0.002046;       0.003233;       0.005088;       0.001678;            NaN;       0.078795;       0.121387;       0.200828;    -999.000000;       0.302879;       0.081191;      -0.003048;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       6.244444;    1010.599792;       1.674141;     310.167267
WaveCIS_8_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100505T140028Z;P10000100;M110100001110030101;    18.000;    55.892;       0.001380;       0.002337;       0.004127;       0.005116;       0.001591;            NaN;       0.074708;       0.138669;       0.256322;    -999.000000;       0.304569;       0.077000;      -0.007620;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       3.346639;    1010.698303;       1.681762;     310.172638
WaveCIS_9_b_oc;WaveCIS;BillGibson;    28.867;   -90.483;20100505T151130Z;P10000100;M110100001110030101;    18.000;    40.390;       0.002755;       0.003050;       0.004252;       0.005948;       0.001135;            NaN;       0.149175;       0.181003;       0.264069;    -999.000000;       0.354066;       0.054919;      -0.003989;     411.700012;     442.100006;     491.100006;    -999.000000;     551.500000;     668.099976;     869.900024;       4.536993;    1010.946045;       1.700938;     310.186096
