MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
AAOT_0_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020419T084304Z;P10000100;M110100001110030101;    12.000;    46.265;       0.016642;       0.018473;       0.023819;       0.018677;       0.002219;       0.905950;       1.106584;       1.457415;       1.068058;       0.108203;     861.574527;    1007.171675;    1097.725870;    1040.636852;     951.616110;       0.722816;    1017.500000;       2.600000;     374.075165
AAOT_1_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020419T134259Z;P10000100;M110100001110030101;    12.000;    47.166;       0.016907;       0.019122;       0.024063;       0.019642;       0.002309;       0.920332;       1.145452;       1.472396;       1.123203;       0.112588;     843.198359;     986.669186;    1076.364699;    1020.552230;     934.350942;       0.792286;    1015.799988;       1.700000;     373.985046
AAOT_2_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020420T111616Z;P10000100;M110100001110030101;    12.000;    33.860;       0.018386;       0.020042;       0.024856;       0.020507;       0.002819;       1.000884;       1.200555;       1.520920;       1.172672;       0.137434;    1090.122129;    1260.654632;    1360.306013;    1286.700479;    1162.180526;       0.809459;    1018.400024;       0.500000;     373.596436
AAOT_3_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020420T124251Z;P10000100;M110100001110030101;    12.000;    39.204;       0.017758;       0.019758;       0.024570;       0.021463;       0.003060;       0.966704;       1.183583;       1.503378;       1.227368;       0.149225;     998.626521;    1159.287390;    1255.392243;    1188.423793;    1078.127366;       0.931198;    1017.900024;       2.500000;     373.570404
AAOT_4_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020420T134244Z;P10000100;M110100001110030101;    12.000;    46.921;       0.016510;       0.018395;       0.023665;       0.020722;       0.002186;       0.898742;       1.101928;       1.448036;       1.184966;       0.106587;     847.953513;     992.043723;    1082.056125;    1026.029506;     939.068717;       0.951632;    1017.700012;       5.100000;     373.552429
AAOT_5_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020422T084232Z;P10000100;M110100001110030101;    12.000;    45.487;       0.015666;       0.016607;       0.021517;       0.020070;       0.002301;       0.852811;       0.994780;       1.316607;       1.147697;       0.112194;     875.635873;    1023.247000;    1114.964351;    1057.411728;     966.166946;       1.111875;    1027.199951;       3.400000;     372.777191
AAOT_6_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020422T122156Z;P10000100;M110100001110030101;    12.000;    36.549;       0.017475;       0.019002;       0.023734;       0.021260;       0.003072;       0.951285;       1.138264;       1.452255;       1.215757;       0.149801;    1043.825711;    1209.780434;    1308.152643;    1238.356648;    1121.009897;       0.992368;    1026.300049;       1.100000;     372.711273
AAOT_7_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020422T124230Z;P10000100;M110100001110030101;    12.000;    38.640;       0.017762;       0.019135;       0.023377;       0.021311;       0.002990;       0.966889;       1.146245;       1.430375;       1.218663;       0.145792;    1007.283071;    1169.255873;    1266.169744;    1199.000979;    1087.330376;       1.028365;    1025.599976;       2.000000;     372.705109
AAOT_8_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020422T134224Z;P10000100;M110100001110030101;    12.000;    46.437;       0.017031;       0.018486;       0.022923;       0.020692;       0.002816;       0.927104;       1.107378;       1.402642;       1.183254;       0.137299;     856.616709;    1002.000981;    1092.796085;    1036.536937;     948.208795;       1.009398;    1024.800049;       2.100000;     372.687103
AAOT_9_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20020423T094218Z;P10000100;M110100001110030101;    12.000;    37.620;       0.017793;       0.019279;       0.023487;       0.021079;       0.002928;       0.968584;       1.154863;       1.437140;       1.205389;       0.142759;    1025.614095;    1189.518438;    1287.092545;    1218.594408;    1104.033943;       0.989170;    1024.500000;       0.300000;     372.326538
