MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_413;Rho_wn_IS_440;Rho_wn_IS_501;Rho_wn_IS_555;Rho_wn_IS_674;Rho_wn_IS_870;LwN_IS_413;LwN_IS_440;LwN_IS_501;LwN_IS_555;LwN_IS_674;LwN_IS_870;ExactWavelength_IS_413;ExactWavelength_IS_440;ExactWavelength_IS_501;ExactWavelength_IS_555;ExactWavelength_IS_674;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
AAB_0_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20040927T085235Z;P10000000;M110100001110030101;    41.000;    27.865;       0.008475;       0.008069;       0.010577;       0.009729;       0.002308;       0.000277;       0.463311;       0.474650;       0.647946;       0.570054;       0.109384;       0.008337;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.779147;    1007.403809;       2.166822;     273.250946
AAB_1_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041011T044616Z;P10000000;M110100001110030101;    41.000;    59.972;       0.003645;       0.004342;       0.005925;       0.004590;       0.000883;            NaN;       0.199274;       0.255419;       0.362971;       0.268910;       0.041860;      -0.000896;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.204175;    1011.875977;       2.840362;     269.410431
AAB_2_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041013T044549Z;P10000000;M110100001110030101;    41.000;    60.501;       0.003765;       0.004517;       0.005878;       0.005697;       0.001326;       0.000113;       0.205846;       0.265701;       0.360095;       0.333809;       0.062855;       0.003398;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       2.012584;    1010.874146;       2.476081;     268.855072
AAB_3_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041023T044358Z;P10000000;M110100001110030101;    41.000;    62.629;       0.005490;       0.006148;       0.007722;       0.005260;       0.000577;            NaN;       0.300140;       0.361663;       0.473059;       0.308179;       0.027358;      -0.006093;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       0.876801;    1014.693848;       3.021993;     265.854156
AAB_4_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041028T084536Z;P10000000;M110100001110030101;    41.000;    39.238;       0.007366;       0.007831;       0.008726;       0.007178;       0.001156;       0.000023;       0.402684;       0.460641;       0.534521;       0.420597;       0.054800;       0.000701;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.294832;    1011.890320;       2.414995;     264.277679
AAB_5_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041030T042401Z;P10000000;M110100001110030101;    41.000;    67.641;       0.001757;       0.004129;       0.006156;       0.004981;       0.000812;            NaN;       0.096059;       0.242873;       0.377124;       0.291821;       0.038497;      -0.000642;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.366419;    1013.260437;       3.644122;     263.722992
AAB_6_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041030T044326Z;P10000000;M110100001110030101;    41.000;    63.926;       0.003835;       0.004689;       0.006450;       0.005097;       0.001051;            NaN;       0.209676;       0.275805;       0.395129;       0.298662;       0.049827;      -0.006269;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.264213;    1013.376038;       3.748830;     263.718872
AAB_7_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041031T041325Z;P10000000;M110100001110030101;    41.000;    70.012;       0.003369;       0.005346;       0.006685;       0.005327;       0.000945;            NaN;       0.184181;       0.314459;       0.409513;       0.312117;       0.044774;      -0.004140;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.251023;    1013.413574;       4.120277;     263.420197
AAB_8_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041107T084519Z;P10000000;M110100001110030101;    41.000;    42.198;       0.007271;       0.007534;       0.008882;       0.006504;       0.001236;       0.000080;       0.397487;       0.443140;       0.544103;       0.381064;       0.058579;       0.002417;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.011175;    1011.498535;       0.869318;     261.227203
AAB_9_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041108T052441Z;P10000000;M110100001110030101;    41.000;    58.197;       0.005426;       0.005594;       0.008046;       0.005627;       0.000782;       0.000008;       0.296650;       0.329023;       0.492899;       0.329698;       0.037046;       0.000254;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       0.968680;    1013.027283;       2.386710;     260.964661
AAB_10_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041109T052454Z;P10000000;M110100001110030101;    41.000;    58.415;       0.005070;       0.005494;       0.008041;       0.005720;       0.000686;            NaN;       0.277162;       0.323176;       0.492573;       0.335114;       0.032494;      -0.009025;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.011420;    1012.247009;       1.558810;     260.659546
AAB_11_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041109T084531Z;P10000000;M110100001110030101;    41.000;    42.775;       0.006378;       0.006593;       0.008311;       0.005939;       0.000773;            NaN;       0.348683;       0.387783;       0.509121;       0.347951;       0.036612;      -0.003632;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       0.977763;    1011.089722;       1.227582;     260.617035
AAB_12_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041111T052508Z;P10000000;M110100001110030101;    41.000;    58.681;       0.004470;       0.005296;       0.007672;       0.004931;       0.000513;            NaN;       0.244398;       0.311521;       0.469995;       0.288921;       0.024317;      -0.001429;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       0.803208;    1012.271606;       2.178074;     260.049377
AAB_13_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041112T052518Z;P10000000;M110100001110030101;    41.000;    58.898;       0.004825;       0.005528;       0.008581;       0.005189;       0.000802;            NaN;       0.263765;       0.325180;       0.525681;       0.304056;       0.037999;      -0.008940;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       0.714755;    1014.127258;       1.899778;     259.744293
AAB_14_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041127T054936Z;P10000000;M110100001110030101;    41.000;    58.272;       0.004740;       0.006096;       0.009827;       0.008344;       0.001398;            NaN;       0.259139;       0.358590;       0.601988;       0.488864;       0.066259;      -0.016439;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.562979;    1014.426697;       5.364856;     258.044403
AAB_15_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041129T055016Z;P10000000;M110100001110030101;    41.000;    58.509;       0.005484;       0.008302;       0.014157;       0.013125;       0.002084;            NaN;       0.299798;       0.488313;       0.867264;       0.769011;       0.098737;      -0.001664;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.956087;    1020.063354;       7.877736;     257.904938
AAB_16_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20041203T063120Z;P10000000;M110100001110030101;    41.000;    53.934;       0.005854;       0.007879;       0.013281;       0.010894;       0.001656;       0.000413;       0.320057;       0.463452;       0.813596;       0.638269;       0.078461;       0.012415;     413.000000;     440.600006;     500.500000;     555.000000;     675.400024;     869.000000;       1.457844;    1021.073242;       7.526851;     257.624054
AAB_17_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061122T112734Z;P10000000;M110100001110030101;    41.000;    65.374;       0.005125;       0.006709;       0.008877;       0.010696;       0.003334;       0.001126;       0.279013;       0.397778;       0.557688;       0.625839;       0.158246;       0.033764;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       2.975236;    1012.332458;       3.189342;     258.376678
AAB_18_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061123T082743Z;P10000000;M110100001110030101;    41.000;    45.676;       0.006782;       0.007545;       0.009624;       0.009386;       0.001732;            NaN;       0.369179;       0.447352;       0.604622;       0.549191;       0.082231;      -0.007042;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.768758;    1013.646118;       2.618812;     258.315674
AAB_19_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061124T054854Z;P10000000;M110100001110030101;    41.000;    57.824;       0.005545;       0.007033;       0.009724;       0.009337;       0.001806;            NaN;       0.301861;       0.417005;       0.610858;       0.546315;       0.085747;      -0.023739;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.711181;    1014.551758;       3.100841;     258.253632
AAB_20_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061124T062804Z;P10000000;M110100001110030101;    41.000;    52.456;       0.006287;       0.007734;       0.010881;       0.009705;       0.001882;            NaN;       0.342263;       0.458565;       0.683593;       0.567803;       0.089323;      -0.008163;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.438478;    1014.377441;       3.088057;     258.251740
AAB_21_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061124T064854Z;P10000000;M110100001110030101;    41.000;    50.263;       0.006992;       0.007800;       0.011037;       0.009833;       0.001977;            NaN;       0.380611;       0.462481;       0.693344;       0.575298;       0.093839;      -0.002180;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.435305;    1014.186646;       3.087588;     258.250732
AAB_22_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061128T052919Z;P10000000;M110100001110030101;    41.000;    61.522;       0.005009;       0.005994;       0.009245;       0.007317;       0.000575;       0.000101;       0.272656;       0.355391;       0.580809;       0.428128;       0.027312;       0.003015;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.095917;    1013.899841;       5.160615;     257.975677
AAB_23_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061129T065031Z;P10000000;M110100001110030101;    41.000;    51.097;       0.007048;       0.008066;       0.009590;       0.007703;       0.001786;            NaN;       0.383642;       0.478238;       0.602474;       0.450714;       0.084785;      -0.018642;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.120269;    1015.523010;       3.818741;     257.902008
AAB_24_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061203T095201Z;P10000000;M110100001110030101;    41.000;    52.786;       0.007381;       0.010807;       0.014730;       0.010583;       0.001803;            NaN;       0.401783;       0.640806;       0.925344;       0.619219;       0.085599;      -0.006883;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.876151;    1011.352112;       8.290453;     257.614319
AAB_25_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061204T105223Z;P10000000;M110100001110030101;    41.000;    60.629;       0.008166;       0.012157;       0.017863;       0.014218;       0.002720;       0.000359;       0.444526;       0.720834;       1.122179;       0.831881;       0.129134;       0.010769;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.107978;    1016.029297;       3.688944;     257.541687
AAB_26_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061204T115024Z;P10000000;M110100001110030101;    41.000;    70.198;       0.004648;       0.008572;       0.013503;       0.011090;       0.002194;            NaN;       0.253000;       0.508289;       0.848314;       0.648839;       0.104135;      -0.026677;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.193662;    1015.626709;       3.589902;     257.538879
