MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_443;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681;Rho_wn_IS_708;Rho_wn_IS_753;Rho_wn_IS_760;Rho_wn_IS_778;Lw_IS_412;Lw_IS_443;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681;Lw_IS_708;Lw_IS_753;Lw_IS_760;Lw_IS_778;Es_IS_412;Es_IS_443;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681;Es_IS_708;Es_IS_753;Es_IS_760;Es_IS_778
ChesapeakeBay_0_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.871;   -76.443;20080104T121339Z;P11100100;M111011002101112022;     4.000;    92.814;       0.008935;       0.011457;       0.016795;       0.019576;       0.029274;       0.022224;       0.014141;       0.013707;       0.012341;       0.001165;       0.000927;       0.005108;       1.729113;       2.611137;       4.395435;       5.126369;       7.615287;       5.227728;       3.211176;       2.962406;       2.536176;       0.203036;       0.107704;       0.899014;     571.944092;     661.196045;     733.082153;     725.628174;     703.774902;     655.391724;     638.116699;     611.389709;     586.873047;     497.607178;     331.769989;     502.639709
ChesapeakeBay_1_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.872;   -76.443;20080104T121429Z;P11100100;M111011002101112022;     4.000;    92.641;       0.003985;       0.007516;       0.013100;       0.015760;       0.024825;       0.018659;       0.011536;       0.011457;       0.009564;       0.000344;       0.000322;       0.000277;       0.761347;       1.688796;       3.375224;       4.061491;       6.348948;       4.313108;       2.572631;       2.431476;       1.931014;       0.058862;       0.036768;       0.047898;     564.639038;     651.880493;     721.672974;     714.094788;     691.918823;     644.025818;     626.667297;     600.404785;     576.581543;     488.531372;     325.751007;     493.462677
ChesapeakeBay_2_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.872;   -76.443;20080104T121619Z;P11100100;M111011002101112022;     4.000;    92.296;       0.006136;       0.009696;       0.014743;       0.017253;       0.026367;       0.019502;       0.012094;       0.011470;       0.010065;       0.000623;       0.000639;       0.045937;       1.161994;       2.157104;       3.755623;       4.394800;       6.660712;       4.448715;       2.662457;       2.402853;       2.005430;       0.105103;       0.072049;       7.839701;     559.711426;     645.422729;     713.545593;     705.827881;     683.424194;     635.557739;     618.617249;     592.664062;     568.969360;     482.069214;     321.792175;     487.349274
ChesapeakeBay_3_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.873;   -76.443;20080104T121724Z;P11100100;M111011002101112022;     4.000;    92.124;       0.006551;       0.008824;       0.014238;       0.016813;       0.026009;       0.019389;       0.012237;       0.012202;       0.010263;       0.000945;       0.003824;       0.009894;       1.213404;       1.915295;       3.529634;       4.164454;       6.381246;       4.292739;       2.613750;       2.479494;       1.983694;       0.154823;       0.417593;       1.637784;     547.388184;     629.704346;     694.366699;     686.336548;     663.775757;     616.847473;     600.217224;     574.841675;     551.964539;     467.823029;     311.884583;     472.683075
ChesapeakeBay_4_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.729;   -76.440;20080306T111336Z;P11100100;M111011002101112022;     5.000;    94.178;       0.006496;       0.008118;       0.010790;       0.011939;       0.017631;       0.010783;       0.006670;       0.006505;       0.004865;       0.000599;       0.000623;       0.001483;       1.948136;       2.827533;       4.250766;       4.691437;       6.885760;       3.794334;       2.227087;       2.071430;       1.448836;       0.153810;       0.112991;       0.382516;     886.334839;    1010.472717;    1103.514160;    1088.850830;    1056.625610;     980.398010;     938.275696;     900.811768;     850.450806;     733.310059;     517.687256;     736.364746
ChesapeakeBay_5_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.833;   -76.416;20080306T114231Z;P11100100;M111011002101112022;     3.000;    88.544;       0.009642;       0.011520;       0.014970;       0.016808;       0.024368;       0.016514;       0.010456;       0.010055;       0.008172;       0.001053;       0.000867;       0.001024;       2.999368;       4.159157;       6.109708;       6.844739;       9.868731;       6.025928;       3.617817;       3.316433;       2.523736;       0.280869;       0.163720;       0.274538;     919.337036;    1047.425659;    1143.214600;    1128.420532;    1095.676514;    1016.682678;     972.272095;     933.036194;     881.865112;     761.953674;     539.333923;     765.514771
ChesapeakeBay_6_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.833;   -76.416;20080306T114259Z;P11100100;M111011002101112022;     3.000;    88.544;       0.002173;       0.003264;       0.003800;       0.003769;       0.002748;       0.004950;       0.004930;       0.004858;       0.003740;       0.000356;       0.000340;       0.000297;       0.669662;       1.165192;       1.527399;       1.507254;       1.084463;       1.762577;       1.676616;       1.589785;       1.152998;       0.094805;       0.064242;       0.079496;     933.861084;    1065.294922;    1164.368652;    1149.783936;    1117.406372;    1037.943237;     993.200439;     953.521179;     901.581665;     778.554565;     551.756348;     783.153442
ChesapeakeBay_7_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.940;   -76.391;20080306T121432Z;P11100100;M111011002101112022;     1.000;    82.423;       0.011520;       0.013579;       0.015592;       0.016991;       0.025298;       0.018088;       0.011441;       0.011729;       0.009615;       0.002027;       0.001371;       0.002543;       3.714489;       5.084720;       6.605829;       7.187673;      10.651032;       6.869301;       4.120265;       4.028878;       3.093379;       0.563410;       0.271196;       0.710977;     952.916626;    1086.377441;    1186.747925;    1172.159546;    1139.028809;    1058.094116;    1011.967468;     971.779175;     918.702454;     793.611450;     564.748413;     798.491699
ChesapeakeBay_8_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.940;   -76.391;20080306T121616Z;P11100100;M111011002101112022;     1.000;    82.044;       0.009020;       0.009328;       0.011673;       0.013579;       0.023030;       0.017368;       0.010041;       0.010354;       0.010225;       0.001065;       0.000777;       0.002823;       2.918517;       3.505261;       4.960899;       5.762782;       9.725504;       6.616149;       3.626231;       3.565432;       3.298314;       0.296653;       0.154003;       0.791570;     956.296509;    1090.181519;    1190.401367;    1175.911621;    1142.476074;    1061.327393;    1014.786072;     974.184326;     921.118835;     795.594788;     565.843689;     800.698120
ChesapeakeBay_9_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.942;   -76.421;20080306T122911Z;P11100100;M111011002101112022;     3.000;    79.619;       0.005885;       0.005180;       0.007492;       0.009577;       0.021949;       0.018333;       0.008764;       0.009796;       0.013172;       0.002588;       0.002780;       0.001964;       1.657032;       1.649821;       2.569631;       3.212468;       7.143731;       5.524182;       2.517486;       2.727040;       3.479239;       0.590217;       0.450824;       0.450179;     894.522400;    1015.580811;    1104.304932;    1089.262451;    1055.911865;     978.598633;     934.391479;     897.062439;     847.393188;     731.708130;     520.337769;     735.530518
ChesapeakeBay_10_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.942;   -76.421;20080306T122940Z;P11100100;M111011002101112022;     3.000;    79.619;       0.013919;       0.018127;       0.016728;       0.016759;       0.023904;       0.017978;       0.011459;       0.011972;       0.010082;       0.005011;       0.005263;       0.000540;       4.476137;       6.777905;       7.080544;       7.086917;      10.071598;       6.837957;       4.133760;       4.119773;       3.251675;       1.395702;       1.043391;       0.151593;     950.414734;    1084.801514;    1185.601562;    1171.760376;    1139.896973;    1059.696655;    1013.723206;     973.467529;     921.000427;     795.394226;     566.174988;     801.281250
ChesapeakeBay_11_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.942;   -76.421;20080306T123030Z;P11100100;M111011002101112022;     3.000;    79.432;       0.021781;       0.024418;       0.021377;       0.020477;       0.026280;       0.020857;       0.014726;       0.015996;       0.013354;       0.003147;       0.001506;       0.002269;       7.158479;       9.335071;       9.270581;       8.876685;      11.372481;       8.141431;       5.451712;       5.648680;       4.415746;       0.898151;       0.305730;       0.651724;     971.328064;    1109.115723;    1214.748657;    1201.209595;    1170.762329;    1087.553345;    1040.298096;     998.967834;     944.249146;     814.867432;     579.620911;     820.385132
ChesapeakeBay_12_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.942;   -76.421;20080306T123123Z;P11100100;M111011002101112022;     3.000;    79.245;       0.020086;       0.024218;       0.025626;       0.026296;       0.033496;       0.026419;       0.018223;       0.017786;       0.016114;       0.003624;       0.004304;       0.003863;       6.698337;       9.400966;      11.293730;      11.585118;      14.736566;      10.486382;       6.855606;       6.382704;       5.418221;       1.050969;       0.887194;       1.129180;     985.620361;    1126.179443;    1234.451172;    1220.770752;    1190.255981;    1105.898438;    1057.116821;    1015.224365;     960.189270;     828.066650;     588.585571;     834.635315
ChesapeakeBay_13_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.867;   -76.486;20080306T125131Z;P11100100;M111011002101112022;     1.000;    75.561;       0.018668;       0.024125;       0.027221;       0.028058;       0.035900;       0.025815;       0.017458;       0.015952;       0.012897;       0.001235;       0.000550;       0.002243;       6.034754;       9.059132;      11.573498;      11.915998;      15.200986;       9.849001;       6.311740;       5.502796;       4.164321;       0.343694;       0.108561;       0.628373;     955.411865;    1089.397583;    1190.896606;    1176.786743;    1145.557617;    1062.959961;    1015.916138;     975.900146;     922.090454;     794.752502;     563.955933;     799.862366
ChesapeakeBay_14_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.867;   -76.486;20080306T125225Z;P11100100;M111011002101112022;     1.000;    75.377;       0.015740;       0.024365;       0.027356;       0.028311;       0.036472;       0.026069;       0.017636;       0.015650;       0.012761;       0.000971;       0.000586;       0.001022;       5.083740;       9.145405;      11.634391;      12.024145;      15.444482;       9.951839;       6.378947;       5.397780;       4.122144;       0.270524;       0.115859;       0.286158;     954.590454;    1088.931763;    1191.271851;    1176.851318;    1145.636108;    1063.591187;    1016.360352;     975.751404;     922.429871;     795.919434;     564.911926;     799.500610
ChesapeakeBay_15_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.901;   -76.427;20080311T120201Z;P11100100;M111011002101112022;     3.000;    83.230;       0.112572;       0.099516;       0.093908;       0.094608;       0.113754;       0.108705;       0.084009;       0.083458;       0.084004;       0.039279;       0.044393;       0.037660;      34.052704;      35.110535;      37.617390;      37.856651;      45.319618;      39.081116;      28.815815;      27.349117;      25.902002;      10.407612;       8.307683;      10.042702;     894.024536;    1023.563477;    1122.039062;    1108.767334;    1077.845337;    1001.661743;     963.848938;     927.048706;     880.517822;     756.654724;     534.407471;     761.511536
ChesapeakeBay_16_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.900;   -76.427;20080311T120238Z;P11100100;M111011002101112022;     3.000;    83.230;       0.024109;       0.072631;       0.048676;       0.049224;       0.067131;       0.065374;       0.046254;       0.045309;       0.051781;       0.022210;       0.008331;       0.060958;       7.268693;      25.487612;      19.359135;      19.540585;      26.509592;      23.286684;      15.751784;      14.745173;      15.879889;       5.861082;       1.555598;      16.188480;     896.273438;    1024.881470;    1122.747314;    1109.417603;    1079.407715;    1003.080566;     965.735535;     927.182678;     880.758118;     757.875977;     536.284119;     762.689697
ChesapeakeBay_17_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.900;   -76.427;20080311T120330Z;P11100100;M111011002101112022;     3.000;    83.038;       0.025271;       0.048435;       0.057811;       0.063779;       0.084081;       0.077507;       0.058412;       0.055263;       0.051654;       0.012392;       0.009490;       0.010464;       7.674589;      17.135517;      23.221308;      25.582346;      33.592304;      27.967167;      20.100735;      18.137699;      15.974953;       3.299554;       1.782943;       2.802852;     897.556091;    1026.394653;    1125.118530;    1111.445312;    1080.873901;    1005.330688;     966.970337;     928.496216;     883.166443;     760.377808;     536.525757;     764.936157
ChesapeakeBay_18_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.787;   -76.414;20080416T104849Z;P11100100;M111011002101112022;     2.000;    87.064;       0.012663;       0.014071;       0.020159;       0.023953;       0.032754;       0.023103;       0.015309;       0.013433;       0.011460;       0.000646;       0.005793;       0.001505;       3.959374;       5.102975;       8.256201;       9.793274;      13.297946;       8.453887;       5.322729;       4.457493;       3.586896;       0.173847;       1.114475;       0.407482;     924.131531;    1052.145630;    1147.172729;    1132.879150;    1098.389771;    1019.493347;     977.015442;     938.723511;     893.816162;     768.586365;     549.354919;     773.240051
ChesapeakeBay_19_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.787;   -76.414;20080416T104939Z;P11100100;M111011002101112022;     2.000;    86.873;       0.010438;       0.017458;       0.022699;       0.026430;       0.035362;       0.025003;       0.016535;       0.014511;       0.013047;       0.000630;       0.000577;       0.043277;       3.247876;       6.299475;       9.245656;      10.746374;      14.275598;       9.096169;       5.714460;       4.785875;       4.059305;       0.168509;       0.110438;      11.650661;     919.659485;    1046.866089;    1140.889648;    1126.646729;    1092.187500;    1013.617859;     971.127380;     933.014160;     888.478516;     764.280762;     546.403564;     768.761536
ChesapeakeBay_20_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.787;   -76.414;20080416T105012Z;P11100100;M111011002101112022;     2.000;    86.681;       0.009445;       0.013024;       0.018882;       0.022168;       0.030396;       0.021644;       0.014209;       0.012418;       0.010835;       0.001169;       0.000561;       0.000767;       2.945943;       4.710260;       7.706964;       9.032832;      12.297487;       7.892372;       4.921407;       4.105146;       3.377745;       0.313507;       0.107524;       0.206978;     921.871948;    1049.219482;    1143.279297;    1129.086060;    1094.531616;    1015.968384;     973.227600;     935.188477;     890.208740;     765.959839;     547.408936;     770.519043
ChesapeakeBay_21_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.787;   -76.414;20080416T105041Z;P11100100;M111011002101112022;     2.000;    86.681;       0.008484;       0.011912;       0.017116;       0.020107;       0.027742;       0.019844;       0.012796;       0.011354;       0.009839;       0.000586;       0.000352;       0.001775;       2.650022;       4.312618;       6.994977;       8.204082;      11.237571;       7.244217;       4.437926;       3.757655;       3.071000;       0.157384;       0.067495;       0.479562;     923.208130;    1050.371582;    1144.708130;    1130.593872;    1095.879395;    1017.125183;     974.560547;     936.277588;     891.350708;     766.340027;     547.961914;     771.702759
ChesapeakeBay_22_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.787;   -76.414;20080416T105148Z;P11100100;M111011002101112022;     2.000;    86.489;       0.008807;       0.014068;       0.020390;       0.023935;       0.032398;       0.022493;       0.014942;       0.013095;       0.011183;       0.000497;       0.000629;       0.008336;       2.766133;       5.123194;       8.382336;       9.823211;      13.201748;       8.260294;       5.212180;       4.359608;       3.511015;       0.134335;       0.121476;       2.266425;     928.285034;    1056.513062;    1151.526245;    1137.202393;    1102.428223;    1023.183838;     980.184875;     941.835266;     896.559204;     771.183411;     551.783691;     776.362549
ChesapeakeBay_23_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.844;   -76.408;20080416T111120Z;P11100100;M111011002101112022;     2.000;    82.620;       0.019701;       0.021751;       0.030348;       0.034889;       0.047129;       0.031982;       0.023868;       0.021743;       0.015679;       0.003259;       0.020178;       0.004776;       6.911146;       8.843755;      13.938973;      16.007599;      21.522545;      13.155064;       9.306154;       8.090673;       5.502888;       0.983771;       4.379887;       1.449782;    1036.782959;    1179.609863;    1286.524414;    1271.357300;    1235.494873;    1146.018555;    1095.614014;    1052.668945;    1002.256470;     861.902832;     619.841797;     866.797974
ChesapeakeBay_24_b_oc;ChesapeakeBay;MichaelOndrusek ;    38.844;   -76.408;20080416T111154Z;P11100100;M111011002101112022;     2.000;    82.620;       0.013327;       0.024017;       0.033153;       0.037950;       0.050889;       0.034046;       0.025491;       0.022681;       0.016000;       0.007728;       0.000775;       0.000791;       4.649564;       9.714696;      15.141461;      17.320866;      23.104534;      13.919848;       9.883663;       8.390099;       5.585669;       2.318092;       0.167336;       0.238536;    1031.145874;    1173.489746;    1279.262817;    1264.691406;    1228.313965;    1139.124023;    1089.507568;    1046.474854;     996.934082;     856.524719;     616.612427;     861.567627
