MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_413;Rho_wn_IS_441;Rho_wn_IS_489;Rho_wn_IS_551;Rho_wn_IS_668;Rho_wn_IS_869;LwN_IS_413;LwN_IS_441;LwN_IS_489;LwN_IS_530;LwN_IS_551;LwN_IS_668;LwN_IS_869;ExactWavelength_IS_413;ExactWavelength_IS_441;ExactWavelength_IS_489;ExactWavelength_IS_530;ExactWavelength_IS_551;ExactWavelength_IS_668;ExactWavelength_IS_869;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
CoveSEAPRISM_0_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060420T123516Z;P10000100;M110100101110010101;    21.000;    64.545;       0.005798;       0.008285;       0.012306;       0.014874;       0.003514;       0.001013;       0.316980;       0.491611;       0.750442;       1.158691;       0.885459;       0.169993;       0.030374;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.067558;    1008.959595;       4.565750;     346.019745
CoveSEAPRISM_1_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060420T130657Z;P10000100;M110100101110010101;    21.000;    58.392;       0.006774;       0.008126;       0.012716;       0.014803;       0.003540;       0.000605;       0.370332;       0.482193;       0.775449;       1.146690;       0.881201;       0.171249;       0.018134;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.787569;    1009.097717;       4.283835;     346.017670
CoveSEAPRISM_2_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060420T141348Z;P10000100;M110100101110010101;    21.000;    45.527;       0.008221;       0.009270;       0.013132;       0.015779;       0.003282;       0.000497;       0.449440;       0.550092;       0.800820;       1.108288;       0.939327;       0.158805;       0.014922;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.025655;    1009.389038;       3.689010;     346.013336
CoveSEAPRISM_3_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060420T143524Z;P10000100;M110100101110010101;    21.000;    41.549;       0.007974;       0.009393;       0.013418;       0.015959;       0.003522;       0.000574;       0.435960;       0.557347;       0.818274;       1.132467;       0.950002;       0.170419;       0.017220;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.947845;    1009.483215;       3.496816;     346.011932
CoveSEAPRISM_4_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060420T150756Z;P10000100;M110100101110010101;    21.000;    36.147;       0.008987;       0.009833;       0.013753;       0.016300;       0.003565;       0.000400;       0.491322;       0.583494;       0.838708;       1.103623;       0.970325;       0.172477;       0.011984;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.923601;    1009.625000;       3.207337;     346.009827
CoveSEAPRISM_5_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060420T153527Z;P10000100;M110100101110010101;    21.000;    31.974;       0.009166;       0.010197;       0.013876;       0.016555;       0.003582;       0.000360;       0.501110;       0.605074;       0.846236;       1.099404;       0.985525;       0.173308;       0.010785;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.974724;    1009.744873;       2.962497;     346.008026
CoveSEAPRISM_6_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060424T123245Z;P10000100;M110100101110010101;    21.000;    64.211;       0.005714;       0.007514;       0.010032;       0.014213;       0.003973;       0.001573;       0.312378;       0.445845;       0.611775;       1.156248;       0.846091;       0.192209;       0.047175;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       4.634072;    1006.285339;       5.449520;     345.646057
CoveSEAPRISM_7_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060506T150542Z;P10000100;M110100101110010101;    21.000;    32.344;       0.006576;       0.013347;       0.021498;       0.029026;       0.006521;       0.002717;       0.359500;       0.791977;       1.311053;       1.884680;       1.727891;       0.315497;       0.081513;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       4.065210;    1003.722412;       3.424475;     344.514587
CoveSEAPRISM_8_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060506T153313Z;P10000100;M110100101110010101;    21.000;    27.801;       0.006401;       0.015059;       0.022057;       0.028518;       0.006426;       0.002406;       0.349951;       0.893582;       1.345152;       1.926062;       1.697658;       0.310918;       0.072169;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.642644;    1003.753357;       3.389284;     344.512787
CoveSEAPRISM_9_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060510T141126Z;P10000100;M110100101110010101;    21.000;    41.539;       0.015359;       0.015543;       0.022565;       0.026174;       0.005910;       0.000490;       0.839683;       0.922320;       1.376083;       1.861352;       1.558108;       0.285949;       0.014694;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.767421;    1009.017334;       5.195825;     344.144257
