MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_441;Rho_wn_IS_491;Rho_wn_IS_555;Rho_wn_IS_675;Rho_wn_IS_870;LwN_IS_412;LwN_IS_441;LwN_IS_491;LwN_IS_530;LwN_IS_555;LwN_IS_675;LwN_IS_870;ExactWavelength_IS_412;ExactWavelength_IS_441;ExactWavelength_IS_491;ExactWavelength_IS_530;ExactWavelength_IS_555;ExactWavelength_IS_675;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
Gloria_0_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20101212T095927Z;P10000100;M110100101110010101;    20.000;    67.615;       0.013452;       0.023556;       0.037014;       0.048991;       0.016322;            NaN;       0.732296;       1.396707;       2.325309;    -999.000000;       2.866423;       0.774790;      -0.002320;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       3.811352;    1002.942139;       8.414356;     314.235229
Gloria_1_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110125T094925Z;P10000100;M110100101110010101;    20.000;    64.143;       0.006659;       0.009968;       0.023165;       0.034053;       0.010146;       0.000239;       0.362481;       0.591066;       1.455237;    -999.000000;       1.992389;       0.481613;       0.007173;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       5.092559;    1011.723572;       8.295322;     347.961456
Gloria_2_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110130T093418Z;P10000100;M110100101110010101;    20.000;    63.329;       0.012113;       0.015042;       0.022755;       0.035657;       0.015095;       0.001824;       0.659363;       0.891909;       1.429539;    -999.000000;       2.086270;       0.716517;       0.054717;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       5.944472;    1016.195618;       5.281391;     351.737640
Gloria_3_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110130T095032Z;P10000100;M110100101110010101;    20.000;    62.883;       0.010817;       0.017039;       0.026647;       0.039900;       0.017722;       0.001380;       0.588847;       1.010278;       1.673991;    -999.000000;       2.334489;       0.841207;       0.041387;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       5.269110;    1016.126648;       5.352576;     351.746185
Gloria_4_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110202T095104Z;P10000100;M110100101110010101;    20.000;    62.213;       0.008631;       0.008818;       0.014902;       0.023807;       0.007903;       0.002546;       0.469846;       0.522844;       0.936199;    -999.000000;       1.392904;       0.375135;       0.076367;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       6.295654;    1017.707336;       7.646371;     354.016937
Gloria_5_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110206T093158Z;P10000100;M110100101110010101;    20.000;    61.672;       0.001771;       0.004015;       0.007981;       0.012607;       0.003253;       0.000561;       0.096423;       0.238088;       0.501356;    -999.000000;       0.737604;       0.154412;       0.016834;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       6.146221;    1014.251282;      11.844722;     357.034210
Gloria_6_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110208T092938Z;P10000100;M110100101110010101;    20.000;    61.158;       0.003706;       0.004744;       0.007288;       0.011233;       0.003716;       0.001308;       0.201754;       0.281276;       0.457820;    -999.000000;       0.657219;       0.176409;       0.039244;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       5.689958;    1014.293396;       7.100389;     358.546631
Gloria_7_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110208T103143Z;P10000100;M110100101110010101;    20.000;    60.264;       0.004058;       0.004861;       0.007408;       0.011247;       0.004534;       0.001464;       0.220897;       0.288249;       0.465379;    -999.000000;       0.658059;       0.215204;       0.043900;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       5.461631;    1013.795532;       7.215432;     358.579254
Gloria_8_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110209T095145Z;P10000100;M110100101110010101;    20.000;    60.158;       0.000735;       0.002460;       0.005577;       0.007999;       0.001980;            NaN;       0.040021;       0.145835;       0.350374;    -999.000000;       0.468010;       0.093976;      -0.002791;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       4.766183;    1013.446594;       8.800947;     359.315094
Gloria_9_b_oc;Gloria;GiuseppeZibordi;    44.600;    29.360;20110209T103217Z;P10000100;M110100101110010101;    20.000;    59.965;       0.001166;       0.002268;       0.005138;       0.008497;       0.002428;       0.000049;       0.063482;       0.134464;       0.322792;    -999.000000;       0.497139;       0.115255;       0.001467;     412.500000;     441.700012;     491.399994;    -999.000000;     555.400024;     675.000000;     870.099976;       6.996806;    1013.562866;       8.423259;     359.336395
