MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
GDT_0_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050609T132310Z;P10000000;M110100001110030101;     8.000;    44.899;       0.001790;       0.001904;       0.003685;       0.005541;       0.000983;       0.097460;       0.114085;       0.225486;       0.316872;       0.047940;     886.401172;    1031.040264;    1117.852055;    1057.121757;     959.754223;       2.298848;    1020.401062;       6.600000;     355.148163
GDT_1_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050612T112342Z;P10000000;M110100001110030101;     8.000;    35.950;       0.001705;       0.002752;       0.004953;       0.006444;       0.001585;       0.092792;       0.164872;       0.303046;       0.368507;       0.077292;    1053.498103;    1215.209798;    1307.384490;    1233.917069;    1110.304967;       1.502361;    1001.981873;       4.570000;     353.510986
GDT_2_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050613T092354Z;P10000000;M110100001110030101;     8.000;    38.652;       0.001395;       0.002885;       0.004216;       0.005862;       0.001410;       0.075945;       0.172828;       0.257965;       0.335203;       0.068731;    1006.011895;    1162.967185;    1253.733002;    1184.039855;    1067.815746;       1.695572;    1007.920898;       3.970000;     352.996460
GDT_3_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050613T125819Z;P10000000;M110100001110030101;     8.000;    42.055;       0.001199;       0.002557;       0.004099;       0.005833;       0.001426;       0.065267;       0.153168;       0.250787;       0.333546;       0.069550;     943.694947;    1094.009720;    1182.459072;    1117.357835;    1010.827690;       1.849799;    1008.799133;       3.860000;     352.912872
GDT_4_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050613T132357Z;P10000000;M110100001110030101;     8.000;    44.562;       0.000639;       0.002315;       0.004205;       0.005830;       0.001316;       0.034799;       0.138691;       0.257294;       0.333386;       0.064184;     895.316426;    1040.394426;    1126.964966;    1065.393216;     966.376829;       1.793641;    1008.806030;       3.860000;     352.902893
GDT_5_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050613T135709Z;P10000000;M110100001110030101;     8.000;    48.351;       0.001210;       0.002126;       0.003911;       0.005534;       0.001250;       0.065844;       0.127355;       0.239300;       0.316439;       0.060947;     818.348880;     954.993840;    1038.491124;     982.532615;     895.443138;       1.898882;    1008.815002;       4.180000;     352.889954
GDT_6_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050614T082407Z;P10000000;M110100001110030101;     8.000;    43.830;       0.001608;       0.002906;       0.004517;       0.005848;       0.001867;       0.087529;       0.174095;       0.276395;       0.334411;       0.091018;     908.736416;    1055.495646;    1142.872097;    1080.568830;     979.459191;       1.396687;    1013.539795;       2.500000;     352.458527
GDT_7_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050614T130315Z;P10000000;M110100001110030101;     8.000;    42.465;       0.001866;       0.002910;       0.004933;       0.006296;       0.001894;       0.101571;       0.174325;       0.301870;       0.360038;       0.092337;     934.683477;    1084.327593;    1172.806250;    1108.689638;    1003.548748;       1.383193;    1015.124146;       4.010000;     352.349731
GDT_8_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050615T122421Z;P10000000;M110100001110030101;     8.000;    39.021;       0.001552;       0.002767;       0.004726;       0.006174;       0.001422;       0.084506;       0.165745;       0.289165;       0.353042;       0.069355;     997.331932;    1153.882489;    1244.975337;    1176.504412;    1061.589752;       1.506208;    1018.649353;       4.080000;     351.803650
GDT_9_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20050615T130321Z;P10000000;M110100001110030101;     8.000;    42.402;       0.002020;       0.002658;       0.005146;       0.006347;       0.001410;       0.109939;       0.159241;       0.314882;       0.362936;       0.068777;     935.203860;    1085.069380;    1173.779893;    1109.835358;    1004.585226;       1.338274;    1018.568726;       4.030000;     351.788452
