MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
HLH_0_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060517T061844Z;P10000000;M110100001110030101;    19.000;    58.295;       0.003822;       0.004819;       0.006143;       0.008990;       0.004468;       0.208064;       0.288653;       0.375883;       0.514092;       0.217872;     631.750335;     746.952602;     820.459148;     772.418729;     713.884297;       1.788058;    1016.185059;       1.424229;     368.342499
HLH_1_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060517T064842Z;P10000000;M110100001110030101;    19.000;    54.775;       0.000674;       0.002008;       0.003732;       0.007620;       0.002850;       0.036671;       0.120286;       0.228359;       0.435745;       0.138962;     714.189597;     838.734791;     915.733892;     861.593489;     790.354608;       4.630853;    1016.177673;       1.480193;     368.328308
HLH_2_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060517T115044Z;P10000000;M110100001110030101;    19.000;    43.832;       0.001563;       0.002613;       0.004034;       0.008182;       0.002919;       0.085059;       0.156538;       0.246843;       0.467872;       0.142348;     949.301456;    1099.456011;    1185.599012;    1114.128329;    1006.372065;       4.507602;    1016.103210;       2.044247;     368.185425
HLH_3_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060517T125046Z;P10000000;M110100001110030101;    19.000;    48.830;       0.001649;       0.002021;       0.003720;       0.007763;       0.002900;       0.089757;       0.121091;       0.227632;       0.443913;       0.141419;     846.383840;     985.477214;    1067.734859;    1003.849610;     912.109560;       4.917228;    1016.045105;       2.073615;     368.157013
HLH_4_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060517T134844Z;P10000000;M110100001110030101;    19.000;    55.021;       0.000565;       0.001863;       0.003827;       0.007565;       0.002944;       0.030781;       0.111601;       0.234169;       0.432604;       0.143541;     708.560025;     832.466529;     909.227623;     855.520058;     785.132322;       4.247745;    1015.981323;       2.087389;     368.129608
HLH_5_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060517T141845Z;P10000000;M110100001110030101;    19.000;    58.548;       0.000820;       0.001308;       0.003361;       0.007143;       0.002773;       0.044636;       0.078375;       0.205662;       0.408443;       0.135232;     625.757257;     740.260987;     813.499151;     765.920786;     708.286481;       5.237451;    1015.948364;       2.094521;     368.115417
HLH_6_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060522T061903Z;P10000000;M110100001110030101;    19.000;    57.302;       0.000597;       0.001534;       0.003181;       0.005566;       0.002268;       0.032512;       0.091895;       0.194664;       0.318315;       0.110596;     658.516069;     776.044846;     849.867592;     799.567724;     736.518031;       3.026002;     999.139587;       3.767974;     364.936127
HLH_7_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060522T064903Z;P10000000;M110100001110030101;    19.000;    53.772;       0.000549;       0.001033;       0.002635;       0.005057;       0.001842;       0.029880;       0.061865;       0.161218;       0.289206;       0.089827;     740.403599;     867.123089;     944.349690;     888.005126;     812.314912;       3.953249;     999.453857;       3.759127;     364.921936
HLH_8_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060522T072419Z;P10000000;M110100001110030101;    19.000;    49.914;       0.001039;       0.001761;       0.003106;       0.005841;       0.002012;       0.056570;       0.105513;       0.190025;       0.334038;       0.098115;     826.250978;     962.402693;    1043.038860;     980.371168;     891.373627;       3.686009;     999.823364;       3.748726;     364.905273
HLH_9_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060522T075101Z;P10000000;M110100001110030101;    19.000;    47.204;       0.001187;       0.001979;       0.003037;       0.005532;       0.002132;       0.064636;       0.118559;       0.185838;       0.316363;       0.103968;     883.971276;    1026.371495;    1109.227358;    1042.315496;     944.345577;       3.338896;    1000.103088;       3.740852;     364.892639
HLH_10_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060522T083008Z;P10000000;M110100001110030101;    19.000;    43.842;       0.001610;       0.002066;       0.003177;       0.005687;       0.001410;       0.087627;       0.123758;       0.194386;       0.325198;       0.068730;     952.307235;    1102.027078;    1187.451984;    1115.523919;    1006.909951;       3.215959;    1000.512878;       3.729316;     364.874115
HLH_11_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060522T085101Z;P10000000;M110100001110030101;    19.000;    42.367;       0.001584;       0.002204;       0.003460;       0.005848;       0.002070;       0.086207;       0.132009;       0.211695;       0.334431;       0.100921;     981.066602;    1133.845807;    1220.336523;    1146.301126;    1033.201819;       2.724108;    1000.731689;       3.723158;     364.864258
HLH_12_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060525T083041Z;P10000000;M110100001110030101;    19.000;    43.333;       0.001190;       0.001210;       0.002409;       0.004675;       0.001885;       0.064784;       0.072460;       0.147392;       0.267332;       0.091924;     961.721513;    1112.596826;    1198.603995;    1126.370891;    1016.121410;       4.027709;    1003.505066;       8.320256;     362.830139
HLH_13_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060526T095128Z;P10000000;M110100001110030101;    19.000;    39.054;       0.001547;       0.001914;       0.003377;       0.005962;       0.001989;       0.084222;       0.114641;       0.206651;       0.340954;       0.097002;    1042.520391;    1201.879971;    1290.782571;    1212.660277;    1089.724146;       3.095184;    1002.632690;       3.823559;     362.110687
HLH_14_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060526T135127Z;P10000000;M110100001110030101;    19.000;    53.748;       0.000463;       0.001384;       0.002654;       0.005015;       0.002018;       0.025194;       0.082884;       0.162391;       0.286775;       0.098386;     740.248303;     867.128070;     944.635138;     888.815810;     812.918396;       3.733991;    1003.098450;       4.017100;     361.997162
HLH_15_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060526T141930Z;P10000000;M110100001110030101;    19.000;    57.069;       0.000064;       0.001451;       0.002810;       0.004476;       0.001862;       0.003463;       0.086898;       0.171944;       0.255930;       0.090775;     663.256321;     781.506466;     855.826957;     805.697911;     741.691793;       2.324245;    1003.068970;       3.938898;     361.983887
HLH_16_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060527T135134Z;P10000000;M110100001110030101;    19.000;    53.589;       0.000900;       0.001371;       0.002686;       0.005387;       0.001780;       0.048994;       0.082105;       0.164332;       0.308072;       0.086775;     743.797488;     871.086610;     948.772812;     892.788163;     816.283909;       4.431783;    1003.391724;       4.413516;     361.315857
HLH_17_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060528T123048Z;P10000000;M110100001110030101;    19.000;    44.944;       0.000608;       0.001731;       0.002926;       0.005896;       0.002268;       0.033123;       0.103676;       0.179025;       0.337152;       0.110587;     930.513883;    1077.877543;    1162.553737;    1092.720916;     987.119472;       4.441638;     999.419800;       2.570637;     360.672821
HLH_18_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060528T125143Z;P10000000;M110100001110030101;    19.000;    46.929;       0.001180;       0.001906;       0.003587;       0.005661;       0.001990;       0.064235;       0.114192;       0.219504;       0.323741;       0.097054;     889.867458;    1032.879787;    1116.032692;    1049.190561;     949.920076;       2.273667;     999.325256;       2.504291;     360.662933
HLH_19_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060528T135143Z;P10000000;M110100001110030101;    19.000;    53.435;       0.000607;       0.001078;       0.002596;       0.005123;       0.001929;       0.033025;       0.064546;       0.158834;       0.292978;       0.094056;     748.142172;     875.716131;     953.351675;     896.952083;     819.688927;       4.259105;     999.054077;       2.313974;     360.634552
HLH_20_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060528T141943Z;P10000000;M110100001110030101;    19.000;    56.760;       0.000170;       0.001287;       0.002533;       0.005241;       0.002016;       0.009249;       0.077120;       0.155013;       0.299704;       0.098312;     671.327117;     790.312957;     864.784328;     814.056605;     748.663698;       4.812447;     998.927551;       2.225160;     360.621307
HLH_21_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20060529T093116Z;P10000000;M110100001110030101;    19.000;    39.170;       0.001657;       0.002779;       0.003871;       0.006287;       0.002063;       0.090218;       0.166494;       0.236875;       0.359523;       0.100575;    1041.872302;    1200.820588;    1289.339741;    1211.231885;    1088.171659;       2.426542;     995.692871;       3.696107;     360.076508
