MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_441;Rho_wn_IS_491;Rho_wn_IS_551;Rho_wn_IS_668;Rho_wn_IS_870;LwN_IS_412;LwN_IS_441;LwN_IS_491;LwN_IS_530;LwN_IS_551;LwN_IS_668;LwN_IS_870;ExactWavelength_IS_412;ExactWavelength_IS_441;ExactWavelength_IS_491;ExactWavelength_IS_530;ExactWavelength_IS_551;ExactWavelength_IS_668;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
LJCO_0_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091202T003728Z;P10000100;M110100001110030101;     4.000;    20.500;       0.008492;       0.012007;       0.017069;       0.017435;       0.002427;            NaN;       0.461839;       0.711908;       1.072290;    -999.000000;       1.037861;       0.117422;      -0.006312;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.023531;    1009.951111;       5.965810;     271.897583
LJCO_1_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091202T011000Z;P10000100;M110100001110030101;     4.000;    12.926;       0.006433;       0.010828;       0.016418;       0.017097;       0.002246;            NaN;       0.349876;       0.642001;       1.031421;    -999.000000;       1.017784;       0.108680;      -0.013642;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.126723;    1009.631165;       6.088126;     271.892365
LJCO_2_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091203T203618Z;P10000100;M110100001110030101;     4.000;    76.026;       0.008936;       0.010634;       0.015336;       0.017080;       0.002658;            NaN;       0.485958;       0.630498;       0.963417;    -999.000000;       1.016763;       0.128613;      -0.022754;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.502111;    1012.808044;       9.493162;     271.474731
LJCO_3_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091204T213805Z;P10000100;M110100001110030101;     4.000;    62.059;       0.010754;       0.013820;       0.019349;       0.020699;       0.003467;       0.000533;       0.584831;       0.819413;       1.215518;    -999.000000;       1.232197;       0.167707;       0.016202;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.263046;    1012.680176;       9.618482;     271.234100
LJCO_4_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091204T220643Z;P10000100;M110100001110030101;     4.000;    55.657;       0.011532;       0.014076;       0.020424;       0.020205;       0.004713;       0.000223;       0.627143;       0.834594;       1.283057;    -999.000000;       1.202780;       0.228004;       0.006784;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.875159;    1012.796997;       9.726393;     271.229523
LJCO_5_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091204T231703Z;P10000100;M110100001110030101;     4.000;    39.300;       0.012151;       0.015303;       0.019751;       0.019029;       0.003853;       0.000157;       0.660820;       0.907368;       1.240777;    -999.000000;       1.132800;       0.186410;       0.004787;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.750574;    1013.083862;       9.991459;     271.218231
LJCO_6_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091204T233835Z;P10000100;M110100001110030101;     4.000;    34.443;       0.010337;       0.014294;       0.019416;       0.019248;       0.003579;       0.000099;       0.562173;       0.847513;       1.219757;    -999.000000;       1.145823;       0.173127;       0.003012;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.878859;    1013.171692;      10.072611;     271.214783
LJCO_7_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091205T203705Z;P10000100;M110100001110030101;     4.000;    75.912;       0.008899;       0.012525;       0.017164;       0.018993;       0.005471;       0.000479;       0.483940;       0.742666;       1.078294;    -999.000000;       1.130623;       0.264683;       0.014578;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.456309;    1010.649292;       7.831036;     271.013153
LJCO_8_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091205T220708Z;P10000100;M110100001110030101;     4.000;    55.502;       0.009788;       0.012512;       0.016908;       0.018831;       0.004716;       0.000307;       0.532325;       0.741860;       1.062197;    -999.000000;       1.120991;       0.228146;       0.009339;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.494275;    1011.268616;       7.814417;     270.998718
LJCO_9_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091206T211357Z;P10000100;M110100001110030101;     4.000;    67.874;       0.009504;       0.011193;       0.016809;       0.019602;       0.004179;       0.000177;       0.516887;       0.663652;       1.055952;    -999.000000;       1.166859;       0.202184;       0.005388;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.810463;    1011.400574;       7.570122;     270.776489
LJCO_10_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091208T224012Z;P10000100;M110100001110030101;     4.000;    48.182;       0.012466;       0.015049;       0.019504;       0.018692;       0.003624;            NaN;       0.677948;       0.892337;       1.225269;    -999.000000;       1.112722;       0.175321;      -0.002445;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.728930;    1009.390442;       5.286910;     270.301208
LJCO_11_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091208T231843Z;P10000100;M110100001110030101;     4.000;    39.437;       0.012715;       0.014677;       0.019656;       0.019562;       0.003843;            NaN;       0.691502;       0.870232;       1.234807;    -999.000000;       1.164525;       0.185898;      -0.001950;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.895387;    1009.532043;       5.174353;     270.295013
LJCO_12_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091209T004015Z;P10000100;M110100001110030101;     4.000;    20.567;       0.012803;       0.015493;       0.019927;       0.020817;       0.004214;            NaN;       0.696295;       0.918626;       1.251870;    -999.000000;       1.239190;       0.203875;      -0.010991;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       2.126534;    1009.277222;       5.231996;     270.281952
LJCO_13_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091210T234108Z;P10000100;M110100001110030101;     4.000;    34.340;       0.010998;       0.013013;       0.016570;       0.016306;       0.003129;            NaN;       0.598124;       0.771564;       1.040965;    -999.000000;       0.970675;       0.151384;      -0.003892;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.840050;    1010.390503;       5.008092;     269.829956
LJCO_14_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091211T203940Z;P10000100;M110100001110030101;     4.000;    75.886;       0.009610;       0.012107;       0.014966;       0.010803;       0.001433;            NaN;       0.522616;       0.717867;       0.940200;    -999.000000;       0.643076;       0.069328;      -0.011682;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       0.896366;    1009.535828;       4.274540;     269.628296
LJCO_15_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091211T211531Z;P10000100;M110100001110030101;     4.000;    67.813;       0.010326;       0.012924;       0.016160;       0.013134;       0.001832;       0.000124;       0.561553;       0.766323;       1.015226;    -999.000000;       0.781856;       0.088641;       0.003776;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.173964;    1009.667847;       4.291277;     269.622559
LJCO_16_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091211T214031Z;P10000100;M110100001110030101;     4.000;    62.158;       0.010426;       0.012478;       0.015018;       0.012691;       0.002219;            NaN;       0.567026;       0.739861;       0.943434;    -999.000000;       0.755492;       0.107332;      -0.000955;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.282045;    1009.759949;       4.302948;     269.618530
LJCO_17_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091211T220942Z;P10000100;M110100001110030101;     4.000;    55.557;       0.010944;       0.013182;       0.016408;       0.014703;       0.001834;            NaN;       0.595175;       0.781622;       1.030769;    -999.000000;       0.875232;       0.088715;      -0.004171;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.472031;    1009.867432;       4.316572;     269.613861
LJCO_18_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091211T234135Z;P10000100;M110100001110030101;     4.000;    34.445;       0.010795;       0.013689;       0.017066;       0.014816;       0.001960;            NaN;       0.587066;       0.811677;       1.072097;    -999.000000;       0.881977;       0.094841;      -0.003843;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.367255;    1010.205872;       4.359468;     269.599152
LJCO_19_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091212T204006Z;P10000100;M110100001110030101;     4.000;    75.745;       0.007125;       0.008977;       0.011030;       0.007511;       0.000413;            NaN;       0.387478;       0.532269;       0.692950;    -999.000000;       0.447094;       0.019969;      -0.003328;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       0.786610;    1010.210999;       7.018048;     269.397491
LJCO_20_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091212T224158Z;P10000100;M110100001110030101;     4.000;    48.335;       0.009886;       0.012503;       0.014891;       0.010876;       0.001648;            NaN;       0.537648;       0.741353;       0.935471;    -999.000000;       0.647440;       0.079708;      -0.004403;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       0.918763;    1010.687683;       6.765499;     269.377960
LJCO_21_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091212T234201Z;P10000100;M110100001110030101;     4.000;    34.322;       0.010013;       0.011583;       0.014643;       0.010454;       0.000933;            NaN;       0.544553;       0.686813;       0.919870;    -999.000000;       0.622313;       0.045148;      -0.005744;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       0.875547;    1010.922607;       6.641054;     269.368347
LJCO_22_b_oc;LJCO;VittorioBrando;   -18.520;   146.386;20091213T214117Z;P10000100;M110100001110030101;     4.000;    62.115;       0.011514;       0.014767;       0.017860;       0.015614;       0.002703;       0.000189;       0.626199;       0.875603;       1.122025;    -999.000000;       0.929490;       0.130758;       0.005744;     412.000000;     441.700012;     491.399994;    -999.000000;     551.400024;     668.400024;     870.500000;       1.387448;    1011.163330;       7.011397;     269.156952
