MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681.25;Rho_wn_IS_708.75;Rho_wn_IS_753.75;Rho_wn_IS_778.75;Rho_wn_IS_865;Rho_wn_IS_885;Lw_IS_412.5;Lw_IS_442.5;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681.25;Lw_IS_708.75;Lw_IS_753.75;Lw_IS_778.75;Lw_IS_865;Lw_IS_885;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681.25;Es_IS_708.75;Es_IS_753.75;Es_IS_778.75;Es_IS_865;Es_IS_885;HPLC_chla_ONLY_IS
MUMMTriOS-Belgica01-17_0_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.393;     3.317;20010618T113500Z;P10100100;M122200001200020100;     3.000;    28.102;       0.032223;       0.043079;       0.062874;       0.069416;       0.082920;       0.069599;       0.057533;       0.054669;       0.040762;       0.012354;       0.011824;       0.006247;       0.005222;       5.799669;       8.866986;      14.571052;      15.884030;      18.851789;      13.041757;       9.873296;       8.891078;       5.959175;       1.589029;       1.498842;       0.636738;       0.511838;     529.466492;     589.262085;     628.742249;     612.057556;     590.688843;     527.088257;     492.744141;     472.447845;     431.249695;     378.776917;     373.154785;     298.898407;     286.948853;       3.410000
MUMMTriOS-Belgica01-17_1_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.430;     3.422;20010618T132200Z;P10100100;M122200001200020100;     4.000;    33.429;       0.027557;       0.035659;       0.052712;       0.058050;       0.068658;       0.047780;       0.037318;       0.035029;       0.025646;       0.012086;       0.011946;       0.009835;       0.009392;       7.622639;      11.231283;      18.337164;      19.804266;      22.860441;      13.603242;       9.879357;       8.842522;       5.902736;       2.350208;       2.284163;       1.486492;       1.360875;     831.398804;     931.358887;     996.916199;     971.434387;     935.881348;     842.892761;     795.302795;     764.295227;     707.684204;     620.769531;     611.567322;     492.422424;     474.427063;       2.200000
MUMMTriOS-Belgica01-17_2_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.428;     3.517;20010618T144400Z;P10100100;M122200001200020100;     1.000;    43.919;       0.012605;       0.014870;       0.021537;       0.023841;       0.028350;       0.017469;       0.013029;       0.012187;       0.008169;       0.002931;       0.002776;       0.001734;       0.001526;       3.642783;       5.009113;       8.245328;       9.006457;      10.565154;       5.663005;       4.013992;       3.599792;       2.233855;       0.702864;       0.658740;       0.332790;       0.282084;     848.096008;     969.296204;    1061.243652;    1041.153442;    1014.119690;     930.921692;     892.581238;     860.524597;     802.457336;     709.454346;     702.663025;     573.261230;     553.575439;       1.540000
MUMMTriOS-Belgica01-17_3_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.500;     3.349;20010620T123400Z;P10100100;M122200001200020100;     6.000;    29.431;       0.007327;       0.007334;       0.008846;       0.009387;       0.011125;       0.006695;       0.005160;       0.005325;       0.003891;       0.002037;       0.001916;       0.001495;       0.001408;       2.541013;       2.974038;       4.143702;       4.367297;       5.205087;       2.681579;       1.939603;       1.921195;       1.281031;       0.601550;       0.560126;       0.358509;       0.326171;    1040.692261;    1185.329956;    1297.331909;    1274.367920;    1252.416504;    1158.257446;    1104.212891;    1067.395630;     985.478577;     884.491821;     875.581360;     718.507141;     694.007629;       2.190000
MUMMTriOS-Belgica01-17_4_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.491;     3.251;20010620T133400Z;P10100100;M122200001200020100;    11.000;    34.620;       0.004608;       0.005124;       0.007493;       0.008258;       0.010539;       0.005430;       0.003804;       0.003964;       0.002479;       0.000571;       0.000455;            NaN;            NaN;       1.665084;       2.153027;       3.580367;       3.913040;       4.989991;       2.231510;       1.468412;       1.459148;       0.838063;       0.173743;       0.137548;            NaN;            NaN;    1051.487793;    1198.163818;    1309.143677;    1284.586670;    1256.360962;    1157.891113;    1104.309937;    1066.037476;     988.487793;     880.499695;     871.699707;     718.507141;     694.007629;       3.140000
MUMMTriOS-Belgica01-17_5_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.510;     3.184;20010620T094000Z;P10100100;M122200001200020100;    15.000;    37.379;       0.007699;       0.007579;       0.008651;       0.008901;       0.009734;       0.005735;       0.004448;       0.004513;       0.003343;       0.001883;       0.001727;       0.001357;       0.001272;       1.911663;       2.188991;       2.888626;       2.955970;       3.259408;       1.595156;       1.145244;       1.103945;       0.732236;       0.369052;       0.334492;       0.213329;       0.192255;     712.024414;     800.014282;     862.738831;     842.855835;     820.066345;     747.211060;     708.996521;     683.693970;     624.960632;     562.779297;     556.668701;     453.938690;     436.849884;       2.800000
MUMMTriOS-Belgica01-17_6_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.531;     3.284;20010620T151000Z;P10100100;M122200001200020100;     8.000;    47.542;       0.006172;       0.006946;       0.009888;       0.010934;       0.014003;       0.008562;       0.006470;       0.006623;       0.004854;       0.002262;       0.002150;       0.001646;       0.001552;       1.603985;       2.128672;       3.539922;       3.906143;       5.057782;       2.577164;       1.812346;       1.755775;       1.158779;       0.479623;       0.451273;       0.280405;       0.253930;     714.231995;     812.698364;     885.241211;     866.377930;     841.986511;     770.647217;     737.584229;     711.133301;     654.658997;     584.825745;     579.389160;     472.864197;     455.239105;       3.060000
MUMMTriOS-Belgica01-17_7_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.509;     3.097;20010619T133400Z;P10100100;M122200001200020100;    18.000;    34.600;       0.008901;       0.008820;       0.009512;       0.009570;       0.010387;       0.006611;       0.005655;       0.006434;       0.004734;       0.003137;       0.002931;       0.002596;       0.002526;       2.331453;       2.701556;       3.378746;       3.387382;       3.719016;       1.983245;       1.578063;       1.705380;       1.131112;       0.672932;       0.622582;       0.451045;       0.422854;     753.206238;     852.298462;     925.663391;     906.368958;     885.495056;     809.853638;     770.953918;     743.351929;     682.577637;     612.781128;     606.803040;     496.080048;     477.951843;       4.020000
MUMMTriOS-Belgica01-17_8_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.464;     3.123;20010619T103000Z;P10100100;M122200001200020100;    13.000;    31.877;       0.007539;       0.007993;       0.010353;       0.011088;       0.013756;       0.007902;       0.005736;       0.005745;       0.004050;       0.001531;       0.001423;       0.000942;       0.000851;       2.633481;       3.284760;       4.963545;       5.311125;       6.688193;       3.262376;       2.206556;       2.106503;       1.350285;       0.455197;       0.418078;       0.226709;       0.197855;    1016.474548;    1159.933594;    1273.734741;    1252.364380;    1230.796875;    1137.122925;    1083.667725;    1046.697266;     968.082825;     863.457458;     853.840210;     698.829590;     675.020386;       5.100000
MUMMTriOS-Belgica01-17_9_b_oc;MUMMTriOS-Belgica01-17;KevinRuddick;    51.451;     3.147;20010619T084500Z;P10100100;M122200001200020100;    11.000;    44.864;       0.009243;       0.010824;       0.015823;       0.017554;       0.023074;       0.015293;       0.010963;       0.010569;       0.008057;       0.002511;       0.002396;       0.001431;       0.001242;       2.624691;       3.674381;       6.416168;       7.154935;       9.647134;       5.338300;       3.564597;       3.248800;       2.236943;       0.620996;       0.587043;       0.287036;       0.240364;     782.182251;     895.700378;     986.613586;     970.039612;     952.244568;     878.039673;     841.304688;     812.184326;     750.330688;     669.058899;     662.886902;     542.737305;     523.571777;       5.460000
