MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_439;Rho_wn_IS_500;Rho_wn_IS_555;Rho_wn_IS_674;Rho_wn_IS_870;LwN_IS_412;LwN_IS_439;LwN_IS_500;LwN_IS_530;LwN_IS_555;LwN_IS_674;LwN_IS_870;ExactWavelength_IS_412;ExactWavelength_IS_439;ExactWavelength_IS_500;ExactWavelength_IS_530;ExactWavelength_IS_555;ExactWavelength_IS_674;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
MVCO_0_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040226T125924Z;P10000000;M110100001110030101;     4.000;    74.167;       0.003732;       0.005203;       0.010536;       0.011383;       0.001523;       0.000004;       0.203152;       0.302618;       0.645410;    -999.000000;       0.666916;       0.072297;       0.000127;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.958267;    1025.400024;       3.100000;     351.276428
MVCO_1_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040226T133139Z;P10000000;M110100001110030101;     4.000;    69.037;       0.003553;       0.006293;       0.010618;       0.011847;       0.001758;       0.000203;       0.193394;       0.366051;       0.650433;    -999.000000;       0.694109;       0.083463;       0.006089;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       3.071112;    1025.400024;       3.100000;     351.287109
MVCO_2_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040226T152821Z;P10000000;M110100001110030101;     4.000;    54.499;       0.005353;       0.007299;       0.011286;       0.011541;       0.001816;       0.000167;       0.291394;       0.424522;       0.691402;    -999.000000;       0.676231;       0.086224;       0.005024;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.413992;    1025.400024;       2.600000;     351.325775
MVCO_3_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040226T170711Z;P10000000;M110100001110030101;     4.000;    50.700;       0.006221;       0.007926;       0.011978;       0.011562;       0.001763;       0.000163;       0.338639;       0.461000;       0.733754;    -999.000000;       0.677447;       0.083685;       0.004881;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.083363;    1025.599976;       1.300000;     351.358521
MVCO_4_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040226T172826Z;P10000000;M110100001110030101;     4.000;    51.177;       0.006266;       0.007878;       0.011863;       0.011387;       0.001739;       0.000107;       0.341090;       0.458212;       0.726750;    -999.000000;       0.667199;       0.082553;       0.003196;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.053004;    1025.400024;       2.600000;     351.365540
MVCO_5_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040226T180711Z;P10000000;M110100001110030101;     4.000;    53.227;       0.006078;       0.007763;       0.011953;       0.010981;       0.001700;       0.000132;       0.330859;       0.451521;       0.732250;    -999.000000;       0.643391;       0.080699;       0.003946;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.858161;    1025.000000;       2.900000;     351.378387
MVCO_6_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040226T182826Z;P10000000;M110100001110030101;     4.000;    54.907;       0.005728;       0.007636;       0.011813;       0.011231;       0.001651;       0.000135;       0.311816;       0.444135;       0.723654;    -999.000000;       0.658013;       0.078348;       0.004039;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.020671;    1024.599976;       2.700000;     351.385437
MVCO_7_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040227T172814Z;P10000000;M110100001110030101;     4.000;    50.815;       0.007178;       0.008342;       0.012180;       0.012479;       0.002112;       0.001803;       0.390739;       0.485190;       0.746144;    -999.000000;       0.731149;       0.100237;       0.054078;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.386347;    1022.200012;       4.600000;     351.842499
MVCO_8_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040227T190655Z;P10000000;M110100001110030101;     4.000;    58.522;       0.005968;       0.007659;       0.012859;       0.012676;       0.001643;       0.000182;       0.324882;       0.445501;       0.787762;    -999.000000;       0.742722;       0.077984;       0.005462;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.254486;    1021.200012;       4.500000;     351.875214
MVCO_9_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040227T192812Z;P10000000;M110100001110030101;     4.000;    61.253;       0.005409;       0.007305;       0.013082;       0.013010;       0.001702;       0.000091;       0.294458;       0.424912;       0.801380;    -999.000000;       0.762285;       0.080805;       0.002731;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.340910;    1021.200012;       4.200000;     351.882263
MVCO_10_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040227T205649Z;P10000000;M110100001110030101;     4.000;    74.525;       0.003603;       0.006033;       0.011433;       0.011578;       0.001480;            NaN;       0.196145;       0.350896;       0.700390;    -999.000000;       0.678388;       0.070259;      -0.000402;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.480403;    1021.000000;       1.400000;     351.911621
MVCO_11_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040228T132921Z;P10000000;M110100001110030101;     4.000;    68.719;       0.005398;       0.008669;       0.014397;       0.014828;       0.001940;       0.000085;       0.293823;       0.504256;       0.881927;    -999.000000;       0.868771;       0.092092;       0.002536;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.504150;    1023.000000;       3.200000;     352.240387
MVCO_12_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040228T142803Z;P10000000;M110100001110030101;     4.000;    60.267;       0.006462;       0.008931;       0.014810;       0.013470;       0.002053;            NaN;       0.351780;       0.519460;       0.907262;    -999.000000;       0.789213;       0.097446;      -0.003414;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.849282;    1022.599976;       2.700000;     352.259857
MVCO_13_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040228T152803Z;P10000000;M110100001110030101;     4.000;    53.772;       0.006613;       0.009207;       0.014393;       0.013574;       0.001854;       0.000037;       0.360000;       0.535559;       0.881712;    -999.000000;       0.795301;       0.087991;       0.001100;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.987223;    1022.500000;       3.000000;     352.279724
MVCO_14_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040228T172803Z;P10000000;M110100001110030101;     4.000;    50.450;       0.006644;       0.008716;       0.013433;       0.012272;       0.001563;       0.000096;       0.361682;       0.506958;       0.822923;    -999.000000;       0.719028;       0.074211;       0.002893;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.833871;    1021.000000;       1.800000;     352.319458
MVCO_15_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040228T180646Z;P10000000;M110100001110030101;     4.000;    52.466;       0.006722;       0.008629;       0.013704;       0.012339;       0.001758;       0.000073;       0.365945;       0.501887;       0.839473;    -999.000000;       0.722937;       0.083431;       0.002202;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.785452;    1020.700012;       2.700000;     352.332306
MVCO_16_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040228T205742Z;P10000000;M110100001110030101;     4.000;    74.445;       0.004185;       0.006898;       0.012305;       0.010928;       0.001129;            NaN;       0.227800;       0.401254;       0.753828;    -999.000000;       0.640266;       0.053593;      -0.002252;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.777727;    1019.900024;       3.100000;     352.388916
MVCO_17_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040301T132608Z;P10000000;M110100001110030101;     4.000;    68.098;       0.004355;       0.006847;       0.012466;       0.011610;       0.001164;            NaN;       0.237053;       0.398269;       0.763659;    -999.000000;       0.680223;       0.055229;      -0.016107;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       2.002553;    1024.400024;       2.600000;     353.193390
MVCO_18_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040301T140351Z;P10000000;M110100001110030101;     4.000;    62.501;       0.006422;       0.008004;       0.013848;       0.012699;       0.001299;            NaN;       0.349582;       0.465534;       0.848302;    -999.000000;       0.744051;       0.061684;      -0.002006;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.906217;    1024.699951;       3.000000;     353.205872
MVCO_19_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040301T142737Z;P10000000;M110100001110030101;     4.000;    59.215;       0.006716;       0.009355;       0.015073;       0.013376;       0.001537;            NaN;       0.365590;       0.544162;       0.923371;    -999.000000;       0.783744;       0.072946;      -0.007005;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.731175;    1024.800049;       2.800000;     353.213745
MVCO_20_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040301T152733Z;P10000000;M110100001110030101;     4.000;    52.597;       0.007599;       0.010095;       0.016527;       0.014410;       0.001836;            NaN;       0.413665;       0.587160;       1.012432;    -999.000000;       0.844274;       0.087129;      -0.002705;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.666655;    1025.099976;       3.100000;     353.233612
MVCO_21_b_oc;MVCO;HuiFeng;    41.300;   -70.550;20040301T180626Z;P10000000;M110100001110030101;     4.000;    51.278;       0.006384;       0.008039;       0.012999;       0.011959;       0.001588;       0.000032;       0.347541;       0.467575;       0.796307;    -999.000000;       0.700688;       0.075393;       0.000955;     412.700012;     439.600006;     500.299988;    -999.000000;     555.099976;     674.900024;     870.200012;       1.888768;    1025.199951;       3.100000;     353.286224
