pixel (FR) \ band	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	1715.95	1885.03	1930.46	1926.03	1800.86	1650.07	1531.25	1470.97	1406.41	1266.15	1249.92	1176.07	959.10	929.65	895.32
2	1715.94	1884.99	1930.45	1926.05	1800.87	1650.07	1531.25	1470.98	1406.42	1266.15	1249.92	1176.07	959.10	929.65	895.32
3	1715.94	1884.95	1930.43	1926.06	1800.89	1650.07	1531.25	1470.98	1406.43	1266.15	1249.93	1176.08	959.09	929.65	895.33
4	1715.93	1884.92	1930.42	1926.08	1800.90	1650.08	1531.25	1470.99	1406.43	1266.15	1249.93	1176.08	959.09	929.65	895.33
5	1715.93	1884.88	1930.40	1926.10	1800.91	1650.08	1531.26	1471.00	1406.44	1266.15	1249.93	1176.09	959.09	929.65	895.33
6	1715.92	1884.84	1930.39	1926.12	1800.92	1650.09	1531.26	1471.00	1406.45	1266.15	1249.93	1176.10	959.09	929.65	895.33
7	1715.92	1884.81	1930.37	1926.13	1800.93	1650.09	1531.26	1471.01	1406.46	1266.15	1249.93	1176.10	959.08	929.65	895.33
8	1715.91	1884.77	1930.36	1926.15	1800.95	1650.09	1531.26	1471.02	1406.47	1266.15	1249.93	1176.11	959.08	929.65	895.33
9	1715.91	1884.74	1930.34	1926.17	1800.96	1650.10	1531.26	1471.02	1406.48	1266.15	1249.94	1176.12	959.08	929.65	895.33
10	1715.90	1884.70	1930.33	1926.18	1800.97	1650.10	1531.27	1471.03	1406.48	1266.15	1249.94	1176.12	959.07	929.65	895.33
11	1715.89	1884.66	1930.31	1926.20	1800.98	1650.11	1531.27	1471.03	1406.49	1266.14	1249.94	1176.13	959.07	929.65	895.33
12	1715.89	1884.63	1930.30	1926.22	1800.99	1650.11	1531.27	1471.04	1406.50	1266.14	1249.94	1176.13	959.07	929.65	895.34
13	1715.88	1884.59	1930.28	1926.23	1801.01	1650.11	1531.27	1471.05	1406.51	1266.14	1249.94	1176.14	959.07	929.66	895.34
14	1715.88	1884.56	1930.27	1926.25	1801.02	1650.12	1531.28	1471.05	1406.52	1266.14	1249.95	1176.15	959.06	929.66	895.34
15	1715.87	1884.52	1930.26	1926.27	1801.03	1650.12	1531.28	1471.06	1406.52	1266.14	1249.95	1176.15	959.06	929.66	895.34
16	1715.86	1884.48	1930.24	1926.29	1801.04	1650.12	1531.28	1471.07	1406.53	1266.14	1249.95	1176.16	959.06	929.66	895.34
17	1715.86	1884.45	1930.23	1926.30	1801.05	1650.13	1531.28	1471.07	1406.54	1266.14	1249.95	1176.17	959.05	929.66	895.34
